Country,Store,Name,Date,EOD_Start,EOD_Finish,EOD_Duration,Backup_Start,Backup_end,Replication_Start,Replication_End,Replication_Duration,Deployment_Start,Deployment_End,Dep_Duration
England  UK,1,Basingstoke,15/01/2018,15/01/2018 20:57:31,16/01/2018 00:35:51,13100,15/01/2018 21:19:11,15/01/2018 22:49:50,15/01/2018 23:03:36,15/01/2018 23:09:35,359,0,0,0
England  UK,2,Southampton,15/01/2018,15/01/2018 18:58:33,15/01/2018 21:59:55,10882,15/01/2018 19:22:25,15/01/2018 20:50:04,15/01/2018 21:10:41,15/01/2018 21:22:06,685,15/01/2018 21:22:25,15/01/2018 21:27:21,296
England  UK,3,Isle of Wight,15/01/2018,15/01/2018 18:08:01,0,0,15/01/2018 18:47:52,0,15/01/2018 18:55:03,15/01/2018 19:00:41,338,0,0,0
Wales  UK,5,Port Talbot,15/01/2018,15/01/2018 18:11:29,15/01/2018 19:35:36,5047,15/01/2018 18:32:01,15/01/2018 19:10:27,15/01/2018 19:17:02,15/01/2018 19:21:41,279,15/01/2018 19:22:33,15/01/2018 19:24:09,96
England  UK,8,Peterborough,15/01/2018,15/01/2018 18:43:17,15/01/2018 22:04:44,12087,15/01/2018 19:06:47,15/01/2018 19:58:40,15/01/2018 20:11:06,15/01/2018 20:15:21,255,15/01/2018 20:17:49,15/01/2018 20:19:33,104
England  UK,10,Exeter,15/01/2018,15/01/2018 18:54:02,15/01/2018 21:59:07,11105,15/01/2018 19:39:02,15/01/2018 20:49:07,15/01/2018 21:01:03,15/01/2018 21:06:17,314,15/01/2018 21:11:30,15/01/2018 21:13:21,111
England  UK,11,St Austell,15/01/2018,15/01/2018 17:38:50,15/01/2018 18:41:25,3755,15/01/2018 18:00:15,15/01/2018 18:23:17,15/01/2018 18:29:43,15/01/2018 18:33:32,229,15/01/2018 18:33:41,15/01/2018 18:35:32,111
England  UK,12,Exmouth,15/01/2018,15/01/2018 18:12:55,15/01/2018 19:45:37,5562,15/01/2018 18:49:29,15/01/2018 19:14:26,15/01/2018 19:18:12,15/01/2018 19:22:50,278,15/01/2018 19:23:08,15/01/2018 19:24:47,99
Wales  UK,14,Swansea,15/01/2018,15/01/2018 18:19:53,0,0,15/01/2018 18:42:38,0,15/01/2018 18:49:43,15/01/2018 18:54:47,304,0,0,0
England  UK,15,Bath,15/01/2018,15/01/2018 18:15:08,15/01/2018 20:46:07,9059,15/01/2018 19:01:04,15/01/2018 19:39:06,15/01/2018 19:46:12,15/01/2018 19:51:36,324,15/01/2018 19:52:40,15/01/2018 19:55:00,140
England  UK,16,Epsom,15/01/2018,0,0,0,0,0,16/01/2018 08:00:29,16/01/2018 08:02:12,103,0,0,0
England  UK,21,Romford,15/01/2018,15/01/2018 18:29:57,15/01/2018 21:03:19,9202,15/01/2018 19:06:22,15/01/2018 20:00:11,15/01/2018 20:04:27,15/01/2018 20:06:55,148,15/01/2018 20:07:31,15/01/2018 20:08:17,46
England  UK,22,Salisbury,15/01/2018,15/01/2018 17:43:44,15/01/2018 19:06:01,4937,15/01/2018 18:06:51,15/01/2018 18:44:57,15/01/2018 18:49:42,15/01/2018 18:53:35,233,15/01/2018 18:53:49,15/01/2018 18:55:25,96
England  UK,23,Derby,15/01/2018,15/01/2018 18:43:58,15/01/2018 20:39:33,6935,15/01/2018 19:08:14,15/01/2018 19:49:14,15/01/2018 20:01:50,15/01/2018 20:05:29,219,15/01/2018 20:09:22,15/01/2018 20:11:16,114
England  UK,24,Shrewsbury,15/01/2018,15/01/2018 17:40:15,15/01/2018 18:54:56,4481,15/01/2018 18:13:23,15/01/2018 18:37:11,15/01/2018 18:42:27,15/01/2018 18:47:15,288,15/01/2018 18:47:49,15/01/2018 18:49:29,100
England  UK,25,Ilkeston,15/01/2018,15/01/2018 17:39:29,15/01/2018 19:34:14,6885,15/01/2018 18:01:36,15/01/2018 18:30:48,15/01/2018 18:36:03,15/01/2018 18:40:51,288,15/01/2018 18:42:20,15/01/2018 18:44:11,111
England  UK,26,Dunstable,15/01/2018,15/01/2018 17:49:38,15/01/2018 19:03:02,4404,15/01/2018 18:23:38,15/01/2018 18:46:08,15/01/2018 18:51:13,15/01/2018 18:54:51,218,15/01/2018 18:55:00,15/01/2018 18:56:32,92
England  UK,28,Stourbridge,15/01/2018,15/01/2018 18:08:10,15/01/2018 19:13:17,3907,15/01/2018 18:42:50,15/01/2018 18:56:14,15/01/2018 19:01:20,15/01/2018 19:06:10,290,15/01/2018 19:06:40,15/01/2018 19:08:13,93
England  UK,29,Brighton,15/01/2018,15/01/2018 19:42:51,15/01/2018 21:44:15,7284,15/01/2018 20:21:38,15/01/2018 20:53:10,15/01/2018 20:59:45,15/01/2018 21:04:39,294,0,0,0
England  UK,31,Arnold,15/01/2018,15/01/2018 18:01:20,15/01/2018 20:13:58,7958,15/01/2018 18:40:16,15/01/2018 19:07:30,15/01/2018 19:13:05,15/01/2018 19:18:04,299,15/01/2018 19:18:13,15/01/2018 19:19:52,99
England  UK,32,Boston,15/01/2018,15/01/2018 18:32:33,15/01/2018 21:14:24,9711,15/01/2018 20:03:25,15/01/2018 20:42:21,15/01/2018 20:49:47,15/01/2018 20:56:51,424,15/01/2018 20:57:41,15/01/2018 21:02:30,289
England  UK,33,Cambridge,15/01/2018,15/01/2018 19:26:00,15/01/2018 20:42:43,4603,15/01/2018 19:56:08,15/01/2018 20:20:38,15/01/2018 20:24:44,15/01/2018 20:29:12,268,15/01/2018 20:29:44,15/01/2018 20:31:16,92
England  UK,34,Chelmsford,15/01/2018,15/01/2018 18:33:20,15/01/2018 21:07:25,9245,15/01/2018 18:55:36,15/01/2018 19:34:29,15/01/2018 19:42:24,15/01/2018 19:46:14,230,15/01/2018 19:47:54,15/01/2018 19:49:50,116
