Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,17/09/2018,17/09/2018 19:39:22,17/09/2018 21:04:41,5119,17/09/2018 20:02:17,17/09/2018 20:26:54,,17/09/2018 20:32:19,17/09/2018 20:36:48,269,17/09/2018 20:38:01,17/09/2018 20:38:21,20,,
England  UK,0002,Southampton,17/09/2018,17/09/2018 19:35:37,17/09/2018 22:38:58,11001,17/09/2018 19:57:31,17/09/2018 21:28:37,,17/09/2018 21:49:04,17/09/2018 22:00:29,685,17/09/2018 22:00:49,17/09/2018 22:05:47,298,,
England  UK,0003,Isle of Wight,17/09/2018,17/09/2018 18:15:36,17/09/2018 20:16:31,7255,17/09/2018 18:55:34,17/09/2018 19:16:20,,17/09/2018 19:20:35,17/09/2018 19:25:24,289,17/09/2018 19:25:32,17/09/2018 19:29:35,243,,
Wales  UK,0005,Port Talbot,17/09/2018,17/09/2018 17:44:59,17/09/2018 18:41:19,3380,17/09/2018 18:19:03,17/09/2018 18:26:22,,17/09/2018 18:29:37,17/09/2018 18:33:32,235,17/09/2018 18:33:59,17/09/2018 18:37:08,189,,
England  UK,0008,Peterborough,17/09/2018,17/09/2018 18:39:38,17/09/2018 22:03:20,12222,17/09/2018 19:03:10,17/09/2018 19:56:24,,17/09/2018 20:07:00,17/09/2018 20:10:09,189,17/09/2018 20:12:30,17/09/2018 20:13:27,57,,
England  UK,0010,Exeter,17/09/2018,17/09/2018 19:00:40,17/09/2018 22:08:57,11297,17/09/2018 19:46:45,17/09/2018 20:58:33,,17/09/2018 21:11:08,17/09/2018 21:16:33,325,17/09/2018 21:18:41,17/09/2018 21:20:39,118,,
England  UK,0011,St Austell,17/09/2018,17/09/2018 17:44:08,17/09/2018 18:49:04,3896,17/09/2018 18:05:25,17/09/2018 18:28:51,,17/09/2018 18:35:37,17/09/2018 18:40:36,299,17/09/2018 18:40:45,17/09/2018 18:43:17,152,,
England  UK,0012,Exmouth,17/09/2018,17/09/2018 18:16:59,17/09/2018 19:52:17,5718,17/09/2018 18:53:42,17/09/2018 19:20:10,,17/09/2018 19:24:05,17/09/2018 19:29:04,299,17/09/2018 19:29:23,17/09/2018 19:31:02,99,,
Wales  UK,0014,Swansea,17/09/2018,17/09/2018 18:23:57,17/09/2018 19:41:51,4674,17/09/2018 18:46:09,17/09/2018 19:20:32,,17/09/2018 19:27:57,17/09/2018 19:33:01,304,17/09/2018 19:34:49,17/09/2018 19:36:23,94,,
England  UK,0015,Bath,17/09/2018,17/09/2018 18:07:04,17/09/2018 20:42:46,9342,17/09/2018 18:52:51,17/09/2018 19:32:52,,17/09/2018 19:40:28,17/09/2018 19:45:57,329,17/09/2018 19:46:59,17/09/2018 19:49:27,148,,
