Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,18/03/2019,18/03/2019 20:06:34,18/03/2019 22:02:21,6947,18/03/2019 20:54:46,18/03/2019 21:22:29,,18/03/2019 21:27:54,18/03/2019 21:33:13,319,18/03/2019 21:34:20,18/03/2019 21:35:55,95,,
England  UK,0002,Southampton,18/03/2019,18/03/2019 19:50:06,-,-,18/03/2019 20:13:02,-,,18/03/2019 20:32:10,18/03/2019 20:42:21,611,-,-,,,
England  UK,0003,Isle of Wight,18/03/2019,18/03/2019 18:13:08,18/03/2019 20:12:40,7172,18/03/2019 18:53:08,18/03/2019 19:15:15,,18/03/2019 19:19:10,18/03/2019 19:23:50,280,18/03/2019 19:23:59,18/03/2019 19:25:27,88,,
Wales  UK,0005,Port Talbot,18/03/2019,18/03/2019 17:42:15,18/03/2019 18:42:15,3600,18/03/2019 18:16:13,18/03/2019 18:27:11,,18/03/2019 18:30:37,18/03/2019 18:35:11,274,18/03/2019 18:35:37,18/03/2019 18:37:00,83,,
England  UK,0008,Peterborough,18/03/2019,18/03/2019 18:44:59,18/03/2019 22:20:16,12917,18/03/2019 19:08:21,18/03/2019 20:02:11,,18/03/2019 20:14:56,18/03/2019 20:20:21,325,18/03/2019 20:22:37,18/03/2019 20:24:21,104,,
England  UK,0010,Exeter,18/03/2019,18/03/2019 19:10:52,18/03/2019 22:29:05,11893,18/03/2019 19:56:58,18/03/2019 21:13:31,,18/03/2019 21:26:17,18/03/2019 21:31:41,324,18/03/2019 21:34:05,18/03/2019 21:36:07,122,,
England  UK,0011,St Austell,18/03/2019,18/03/2019 17:46:24,18/03/2019 18:50:55,3871,18/03/2019 18:07:32,18/03/2019 18:32:25,,18/03/2019 18:39:00,18/03/2019 18:43:29,269,18/03/2019 18:43:41,18/03/2019 18:45:31,110,,
England  UK,0012,Exmouth,18/03/2019,18/03/2019 18:26:20,18/03/2019 20:01:12,5692,18/03/2019 19:03:23,18/03/2019 19:29:40,,18/03/2019 19:33:35,18/03/2019 19:38:14,279,18/03/2019 19:38:31,18/03/2019 19:39:57,86,,
Wales  UK,0014,Swansea,18/03/2019,18/03/2019 18:32:50,18/03/2019 19:51:41,4731,18/03/2019 18:55:06,18/03/2019 19:30:49,,18/03/2019 19:38:35,18/03/2019 19:43:35,300,18/03/2019 19:44:52,18/03/2019 19:46:25,93,,
England  UK,0015,Bath,18/03/2019,18/03/2019 18:14:00,18/03/2019 20:51:18,9438,18/03/2019 18:59:46,18/03/2019 19:41:26,,18/03/2019 19:49:01,18/03/2019 19:54:25,324,18/03/2019 19:55:24,18/03/2019 19:57:26,122,,
England  UK,0016,Epsom,18/03/2019,18/03/2019 18:56:05,18/03/2019 20:27:40,5495,18/03/2019 19:27:49,18/03/2019 19:50:58,,18/03/2019 19:55:43,18/03/2019 20:00:17,274,18/03/2019 20:01:07,18/03/2019 20:02:45,98,,
England  UK,0021,Romford,18/03/2019,18/03/2019 18:31:49,18/03/2019 21:17:44,9955,18/03/2019 19:10:44,18/03/2019 20:10:28,,18/03/2019 20:15:13,18/03/2019 20:18:17,184,18/03/2019 20:19:10,18/03/2019 20:19:57,47,,
England  UK,0022,Salisbury,18/03/2019,18/03/2019 17:44:53,18/03/2019 19:13:56,5343,18/03/2019 18:08:59,18/03/2019 18:51:26,,18/03/2019 18:56:51,18/03/2019 19:01:55,304,-,-,,,
England  UK,0023,Derby,18/03/2019,18/03/2019 18:48:06,18/03/2019 21:01:03,7977,18/03/2019 19:12:56,18/03/2019 19:57:30,,18/03/2019 20:11:05,18/03/2019 20:16:15,310,-,-,,,
England  UK,0024,Shrewsbury,18/03/2019,18/03/2019 17:51:50,18/03/2019 19:07:25,4535,18/03/2019 18:24:57,18/03/2019 18:49:51,,18/03/2019 18:55:16,18/03/2019 18:58:55,219,18/03/2019 18:59:43,18/03/2019 19:01:15,92,,
England  UK,0025,Ilkeston,18/03/2019,18/03/2019 17:58:03,-,-,18/03/2019 18:20:08,-,,18/03/2019 18:57:58,18/03/2019 19:03:02,304,-,-,,,
England  UK,0026,Dunstable,18/03/2019,18/03/2019 17:57:48,18/03/2019 19:17:35,4787,18/03/2019 18:32:25,18/03/2019 18:58:36,,18/03/2019 19:03:51,18/03/2019 19:07:30,219,18/03/2019 19:07:40,18/03/2019 19:09:18,98,,
England  UK,0028,Stourbridge,18/03/2019,-,-,-,-,-,,19/03/2019 00:01:31,19/03/2019 00:04:29,178,-,-,,,
England  UK,0029,Brighton,18/03/2019,18/03/2019 19:15:44,18/03/2019 21:28:09,7945,18/03/2019 20:00:25,18/03/2019 20:32:45,,18/03/2019 20:39:30,18/03/2019 20:43:09,219,18/03/2019 20:43:23,18/03/2019 20:45:01,98,,
England  UK,0031,Arnold,18/03/2019,18/03/2019 17:41:36,18/03/2019 19:57:47,8171,18/03/2019 18:23:18,18/03/2019 18:55:33,,18/03/2019 19:00:58,18/03/2019 19:06:02,304,18/03/2019 19:06:18,18/03/2019 19:07:45,87,,
England  UK,0032,Boston,18/03/2019,18/03/2019 19:37:55,18/03/2019 20:38:12,3617,18/03/2019 20:22:01,18/03/2019 20:31:21,,18/03/2019 20:32:47,18/03/2019 20:35:15,148,-,-,,,
England  UK,0033,Cambridge,18/03/2019,18/03/2019 19:19:48,18/03/2019 20:43:50,5042,18/03/2019 19:50:30,18/03/2019 20:19:59,,18/03/2019 20:24:15,18/03/2019 20:28:58,283,18/03/2019 20:30:35,18/03/2019 20:32:12,97,,
England  UK,0034,Chelmsford,18/03/2019,18/03/2019 18:27:48,18/03/2019 20:48:57,8469,18/03/2019 18:49:57,18/03/2019 19:20:45,,18/03/2019 19:27:20,18/03/2019 19:32:39,319,-,-,,,
England  UK,0035,Colchester,18/03/2019,18/03/2019 22:05:37,19/03/2019 00:34:32,8935,18/03/2019 22:11:10,18/03/2019 22:53:15,,18/03/2019 23:00:31,18/03/2019 23:05:34,303,18/03/2019 23:06:43,18/03/2019 23:08:19,96,,
England  UK,0036,Ipswich,18/03/2019,18/03/2019 18:09:06,18/03/2019 20:03:11,6845,18/03/2019 18:32:15,18/03/2019 19:22:01,,18/03/2019 19:31:17,18/03/2019 19:36:37,320,18/03/2019 19:37:03,18/03/2019 19:38:29,86,,
England  UK,0037,Kettering,18/03/2019,18/03/2019 19:03:00,18/03/2019 20:25:09,4929,18/03/2019 19:38:37,18/03/2019 20:05:50,,18/03/2019 20:11:26,18/03/2019 20:17:31,365,-,-,,,
England  UK,0039,Leicester,18/03/2019,18/03/2019 19:20:14,18/03/2019 22:40:58,12044,18/03/2019 19:43:21,18/03/2019 20:38:53,,18/03/2019 20:49:58,18/03/2019 20:55:16,318,18/03/2019 20:57:51,18/03/2019 20:59:32,101,,
England  UK,0040,Nottingham,18/03/2019,18/03/2019 19:13:32,18/03/2019 22:25:52,11540,18/03/2019 20:01:12,18/03/2019 20:52:06,,18/03/2019 21:02:11,18/03/2019 21:08:21,370,-,-,,,
England  UK,0041,Southend,18/03/2019,18/03/2019 17:50:12,18/03/2019 19:57:45,7653,18/03/2019 18:12:09,18/03/2019 18:49:29,,18/03/2019 18:56:14,18/03/2019 19:01:22,308,18/03/2019 19:02:26,18/03/2019 19:04:04,98,,
England  UK,0045,Bromsgrove,18/03/2019,18/03/2019 17:43:32,18/03/2019 18:49:43,3971,18/03/2019 18:13:59,18/03/2019 18:35:04,,18/03/2019 18:38:00,18/03/2019 18:42:40,280,18/03/2019 18:43:00,18/03/2019 18:44:25,85,,
England  UK,0046,Cannock,18/03/2019,18/03/2019 17:52:51,18/03/2019 19:08:52,4561,18/03/2019 18:27:49,18/03/2019 18:51:17,,18/03/2019 18:55:53,18/03/2019 18:59:33,220,18/03/2019 19:00:14,18/03/2019 19:01:51,97,,
England  UK,0047,Cheltenham,18/03/2019,-,-,-,-,-,,19/03/2019 00:02:00,19/03/2019 00:05:28,208,-,-,,,
England  UK,0048,Congleton,18/03/2019,18/03/2019 18:27:06,18/03/2019 19:38:12,4266,18/03/2019 19:03:59,18/03/2019 19:21:56,,18/03/2019 19:25:41,18/03/2019 19:30:09,268,18/03/2019 19:30:19,18/03/2019 19:31:47,88,,
