Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,04/10/2018,04/10/2018 20:56:08,04/10/2018 22:24:14,5286,04/10/2018 21:20:02,04/10/2018 21:45:08,,04/10/2018 21:50:33,04/10/2018 21:56:13,340,-,-,,,
England  UK,0002,Southampton,04/10/2018,04/10/2018 20:34:57,04/10/2018 23:42:07,11230,04/10/2018 20:56:49,04/10/2018 22:28:55,,04/10/2018 22:49:41,04/10/2018 23:02:27,766,04/10/2018 23:02:41,04/10/2018 23:07:43,302,,
England  UK,0003,Isle of Wight,04/10/2018,-,-,-,-,-,,05/10/2018 09:00:39,05/10/2018 09:03:32,173,-,-,,,
Wales  UK,0005,Port Talbot,04/10/2018,04/10/2018 17:38:13,04/10/2018 18:36:14,3481,04/10/2018 18:12:34,04/10/2018 18:22:51,,04/10/2018 18:26:16,04/10/2018 18:29:45,209,04/10/2018 18:30:01,04/10/2018 18:31:20,79,,
England  UK,0008,Peterborough,04/10/2018,04/10/2018 20:02:29,04/10/2018 23:34:38,12729,04/10/2018 20:26:16,04/10/2018 21:19:19,,04/10/2018 21:31:15,04/10/2018 21:37:04,349,04/10/2018 21:39:16,04/10/2018 21:40:59,103,,
England  UK,0010,Exeter,04/10/2018,04/10/2018 19:55:43,04/10/2018 23:08:26,11563,04/10/2018 20:41:46,04/10/2018 21:54:52,,04/10/2018 22:07:27,04/10/2018 22:14:02,395,04/10/2018 22:16:20,04/10/2018 22:18:25,125,,
England  UK,0011,St Austell,04/10/2018,04/10/2018 19:37:16,04/10/2018 20:42:31,3915,04/10/2018 19:58:29,04/10/2018 20:22:22,,04/10/2018 20:29:18,04/10/2018 20:34:18,300,04/10/2018 20:34:33,04/10/2018 20:36:25,112,,
England  UK,0012,Exmouth,04/10/2018,04/10/2018 18:08:21,04/10/2018 19:42:15,5634,04/10/2018 18:44:11,04/10/2018 19:09:44,,04/10/2018 19:13:40,04/10/2018 19:18:38,298,04/10/2018 19:18:52,04/10/2018 19:20:30,98,,
Wales  UK,0014,Swansea,04/10/2018,04/10/2018 18:24:57,04/10/2018 19:45:43,4846,04/10/2018 18:47:13,04/10/2018 19:21:35,,04/10/2018 19:29:11,04/10/2018 19:34:49,338,04/10/2018 19:36:27,04/10/2018 19:38:09,102,,
England  UK,0015,Bath,04/10/2018,04/10/2018 19:59:15,04/10/2018 22:36:41,9446,04/10/2018 20:44:52,04/10/2018 21:25:03,,04/10/2018 21:32:48,04/10/2018 21:38:49,361,04/10/2018 21:40:01,04/10/2018 21:42:24,143,,
