Country,Store,Name,Date,EOD_Start,EOD_Finish,EOD_Duration,Backup_Start,Backup_end,Replication_Start,Replication_End,Replication_Duration,Deployment_Start,Deployment_End,Dep_Duration
England  UK,1,Basingstoke,30/01/2018,30/01/2018 19:58:04,30/01/2018 23:43:26,13522,30/01/2018 20:22:43,30/01/2018 21:56:00,30/01/2018 22:10:16,30/01/2018 22:17:46,450,0,0,0
England  UK,2,Southampton,30/01/2018,30/01/2018 18:59:06,30/01/2018 21:59:50,10844,30/01/2018 19:21:58,30/01/2018 20:49:39,30/01/2018 21:09:56,30/01/2018 21:21:36,700,30/01/2018 21:21:51,30/01/2018 21:26:49,298
England  UK,3,Isle of Wight,30/01/2018,30/01/2018 19:46:03,0,0,30/01/2018 20:25:54,0,30/01/2018 20:31:49,30/01/2018 20:36:43,294,0,0,0
Wales  UK,5,Port Talbot,30/01/2018,30/01/2018 18:12:10,30/01/2018 19:37:27,5117,30/01/2018 18:32:36,30/01/2018 19:12:06,30/01/2018 19:18:51,30/01/2018 19:23:41,290,30/01/2018 19:23:48,30/01/2018 19:25:24,96
England  UK,8,Peterborough,30/01/2018,30/01/2018 18:34:20,30/01/2018 21:57:50,12210,30/01/2018 18:57:48,30/01/2018 19:48:03,30/01/2018 20:00:48,30/01/2018 20:05:53,305,30/01/2018 20:07:15,30/01/2018 20:09:08,113
England  UK,10,Exeter,30/01/2018,30/01/2018 18:51:51,30/01/2018 21:57:27,11136,30/01/2018 19:36:15,30/01/2018 20:45:33,30/01/2018 20:57:59,30/01/2018 21:03:27,328,30/01/2018 21:09:03,30/01/2018 21:10:59,116
England  UK,11,St Austell,30/01/2018,30/01/2018 17:39:10,30/01/2018 18:42:41,3811,30/01/2018 18:00:17,30/01/2018 18:23:11,30/01/2018 18:29:46,30/01/2018 18:34:55,309,30/01/2018 18:35:04,30/01/2018 18:36:56,112
England  UK,12,Exmouth,30/01/2018,30/01/2018 18:05:16,30/01/2018 19:36:54,5498,30/01/2018 18:41:40,30/01/2018 19:05:24,30/01/2018 19:09:09,30/01/2018 19:13:59,290,30/01/2018 19:14:09,30/01/2018 19:15:44,95
Wales  UK,14,Swansea,30/01/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,15,Bath,30/01/2018,30/01/2018 18:12:19,30/01/2018 20:43:42,9083,30/01/2018 18:58:13,30/01/2018 19:36:31,30/01/2018 19:43:36,30/01/2018 19:49:00,324,30/01/2018 19:49:43,30/01/2018 19:52:09,146
England  UK,16,Epsom,30/01/2018,30/01/2018 20:44:55,30/01/2018 22:10:57,5162,30/01/2018 21:16:12,30/01/2018 21:36:21,30/01/2018 21:40:47,30/01/2018 21:45:31,284,30/01/2018 21:46:03,30/01/2018 21:47:49,106
England  UK,21,Romford,30/01/2018,30/01/2018 18:46:38,30/01/2018 21:38:41,10323,30/01/2018 19:23:00,30/01/2018 20:20:25,30/01/2018 20:24:40,30/01/2018 20:27:15,155,30/01/2018 20:27:50,30/01/2018 20:28:35,45
England  UK,22,Salisbury,30/01/2018,30/01/2018 17:37:32,30/01/2018 19:02:52,5120,30/01/2018 18:00:38,30/01/2018 18:39:59,30/01/2018 18:44:54,30/01/2018 18:50:10,316,30/01/2018 18:50:22,30/01/2018 18:51:49,87
England  UK,23,Derby,30/01/2018,30/01/2018 18:42:15,30/01/2018 20:39:13,7018,30/01/2018 19:06:29,30/01/2018 19:47:01,30/01/2018 19:59:47,30/01/2018 20:05:30,343,30/01/2018 20:07:16,30/01/2018 20:09:18,122
England  UK,24,Shrewsbury,30/01/2018,30/01/2018 18:52:36,30/01/2018 20:02:59,4223,30/01/2018 19:24:42,30/01/2018 19:45:43,30/01/2018 19:50:58,30/01/2018 19:55:33,275,30/01/2018 19:55:58,30/01/2018 19:57:35,97
