Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,15/04/2019,15/04/2019 19:35:02,15/04/2019 21:30:58,6956,15/04/2019 20:22:13,15/04/2019 20:50:31,,15/04/2019 20:56:07,15/04/2019 21:01:21,314,15/04/2019 21:02:48,15/04/2019 21:04:14,86,,
England  UK,0002,Southampton,15/04/2019,15/04/2019 19:17:15,15/04/2019 20:22:15,3900,15/04/2019 19:39:24,15/04/2019 20:06:20,,15/04/2019 20:12:16,15/04/2019 20:15:04,168,-,-,,,
England  UK,0003,Isle of Wight,15/04/2019,15/04/2019 18:20:38,15/04/2019 20:21:02,7224,15/04/2019 19:00:38,15/04/2019 19:23:01,,15/04/2019 19:27:06,15/04/2019 19:32:00,294,15/04/2019 19:32:15,15/04/2019 19:33:48,93,,
Wales  UK,0005,Port Talbot,15/04/2019,15/04/2019 17:48:03,15/04/2019 18:48:50,3647,15/04/2019 18:22:16,15/04/2019 18:33:20,,15/04/2019 18:36:46,15/04/2019 18:41:29,283,15/04/2019 18:42:02,15/04/2019 18:43:31,89,,
England  UK,0008,Peterborough,15/04/2019,15/04/2019 18:44:42,15/04/2019 22:19:31,12889,15/04/2019 19:08:05,15/04/2019 20:01:57,,15/04/2019 20:14:52,15/04/2019 20:20:11,319,15/04/2019 20:22:21,15/04/2019 20:24:19,118,,
England  UK,0010,Exeter,15/04/2019,-,-,-,-,-,,16/04/2019 00:01:36,16/04/2019 00:10:50,554,-,-,,,
England  UK,0011,St Austell,15/04/2019,15/04/2019 17:42:58,15/04/2019 18:46:39,3821,15/04/2019 18:04:04,15/04/2019 18:29:00,,15/04/2019 18:35:35,15/04/2019 18:39:14,219,15/04/2019 18:39:25,15/04/2019 18:41:13,108,,
England  UK,0012,Exmouth,15/04/2019,15/04/2019 18:12:08,15/04/2019 19:48:31,5783,15/04/2019 18:49:00,15/04/2019 19:16:56,,15/04/2019 19:20:41,15/04/2019 19:25:35,294,15/04/2019 19:26:00,15/04/2019 19:27:39,99,,
Wales  UK,0014,Swansea,15/04/2019,15/04/2019 18:31:33,15/04/2019 19:51:38,4805,15/04/2019 18:53:49,15/04/2019 19:30:03,,15/04/2019 19:37:59,15/04/2019 19:43:17,318,15/04/2019 19:44:52,15/04/2019 19:46:24,92,,
England  UK,0015,Bath,15/04/2019,15/04/2019 18:17:19,15/04/2019 20:54:45,9446,15/04/2019 19:02:59,15/04/2019 19:45:15,,15/04/2019 19:52:40,15/04/2019 19:57:54,314,15/04/2019 19:59:09,15/04/2019 20:00:56,107,,
England  UK,0016,Epsom,15/04/2019,15/04/2019 18:18:34,15/04/2019 19:53:54,5720,15/04/2019 18:50:15,15/04/2019 19:16:54,,15/04/2019 19:21:10,15/04/2019 19:26:24,314,15/04/2019 19:27:17,15/04/2019 19:28:51,94,,
England  UK,0021,Romford,15/04/2019,15/04/2019 18:50:46,15/04/2019 21:38:14,10048,15/04/2019 19:32:44,15/04/2019 20:30:53,,15/04/2019 20:35:39,15/04/2019 20:38:32,173,15/04/2019 20:39:40,15/04/2019 20:40:26,46,,
England  UK,0022,Salisbury,15/04/2019,15/04/2019 17:44:12,-,-,15/04/2019 18:08:14,-,,15/04/2019 18:13:19,15/04/2019 18:19:01,342,-,-,,,
England  UK,0023,Derby,15/04/2019,15/04/2019 18:53:01,-,-,15/04/2019 19:17:12,-,,15/04/2019 19:30:27,15/04/2019 19:36:22,355,-,-,,,
England  UK,0024,Shrewsbury,15/04/2019,15/04/2019 18:23:26,15/04/2019 19:44:27,4861,15/04/2019 18:56:31,15/04/2019 19:25:13,,15/04/2019 19:30:39,15/04/2019 19:35:44,305,15/04/2019 19:36:30,15/04/2019 19:38:05,95,,
England  UK,0025,Ilkeston,15/04/2019,15/04/2019 17:51:21,-,-,15/04/2019 18:13:23,-,,15/04/2019 18:17:18,15/04/2019 18:22:18,300,-,-,,,
England  UK,0026,Dunstable,15/04/2019,15/04/2019 17:52:52,15/04/2019 19:14:55,4923,15/04/2019 18:27:11,15/04/2019 18:53:32,,15/04/2019 18:58:57,15/04/2019 19:05:15,378,15/04/2019 19:05:26,15/04/2019 19:06:59,93,,
England  UK,0028,Stourbridge,15/04/2019,15/04/2019 18:12:24,-,-,15/04/2019 18:47:00,-,,15/04/2019 19:11:47,15/04/2019 19:15:35,228,-,-,,,
