Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,29/04/2019,29/04/2019 19:58:41,29/04/2019 21:56:16,7055,29/04/2019 20:44:52,29/04/2019 21:13:31,,29/04/2019 21:18:57,29/04/2019 21:24:16,319,29/04/2019 21:25:43,29/04/2019 21:29:20,217,,
England  UK,0002,Southampton,29/04/2019,29/04/2019 19:22:54,29/04/2019 20:28:32,3938,29/04/2019 19:45:05,29/04/2019 20:12:19,,29/04/2019 20:18:24,29/04/2019 20:21:20,176,-,-,,,
England  UK,0003,Isle of Wight,29/04/2019,29/04/2019 18:13:35,29/04/2019 20:13:41,7206,29/04/2019 18:52:34,29/04/2019 19:14:50,,29/04/2019 19:18:56,29/04/2019 19:22:34,218,29/04/2019 19:22:44,29/04/2019 19:26:10,206,,
Wales  UK,0005,Port Talbot,29/04/2019,29/04/2019 17:33:31,29/04/2019 18:35:02,3691,29/04/2019 18:07:39,29/04/2019 18:18:57,,29/04/2019 18:22:22,29/04/2019 18:27:02,280,29/04/2019 18:27:26,29/04/2019 18:29:47,141,,
England  UK,0008,Peterborough,29/04/2019,29/04/2019 18:43:03,29/04/2019 22:19:33,12990,29/04/2019 19:06:26,29/04/2019 20:00:21,,29/04/2019 20:12:57,29/04/2019 20:18:00,303,29/04/2019 20:20:04,29/04/2019 20:23:55,231,,
England  UK,0010,Exeter,29/04/2019,29/04/2019 19:02:20,29/04/2019 22:22:48,12028,29/04/2019 19:48:03,29/04/2019 21:05:40,,29/04/2019 21:18:45,29/04/2019 21:24:09,324,29/04/2019 21:26:53,29/04/2019 21:30:45,232,,
England  UK,0011,St Austell,29/04/2019,29/04/2019 17:44:40,29/04/2019 18:51:09,3989,29/04/2019 18:06:00,29/04/2019 18:30:49,,29/04/2019 18:37:44,29/04/2019 18:42:28,284,29/04/2019 18:42:45,29/04/2019 18:45:38,173,,
England  UK,0012,Exmouth,29/04/2019,29/04/2019 18:18:30,29/04/2019 19:54:41,5771,29/04/2019 18:55:25,29/04/2019 19:23:25,,29/04/2019 19:27:00,29/04/2019 19:31:30,270,29/04/2019 19:31:50,29/04/2019 19:34:13,143,,
Wales  UK,0014,Swansea,29/04/2019,29/04/2019 18:28:00,-,-,29/04/2019 18:50:08,-,,29/04/2019 19:32:56,29/04/2019 19:38:05,309,-,-,,,
England  UK,0015,Bath,29/04/2019,29/04/2019 18:14:51,29/04/2019 20:51:16,9385,29/04/2019 19:00:35,29/04/2019 19:42:05,,29/04/2019 19:49:20,29/04/2019 19:53:39,259,29/04/2019 19:54:48,29/04/2019 19:57:24,156,,
England  UK,0016,Epsom,29/04/2019,29/04/2019 18:38:15,-,-,29/04/2019 19:09:57,-,,29/04/2019 19:40:11,29/04/2019 19:44:40,269,-,-,,,
