Country,Store,Name,Date,EOD_Start,EOD_Finish,EOD_Duration,Backup_Start,Backup_end,Replication_Start,Replication_End,Replication_Duration,Deployment_Start,Deployment_End,Dep_Duration
England  UK,1637,Sleaford,18/03/2018,18/03/2018 16:10:56,18/03/2018 17:17:08,3972,18/03/2018 16:31:56,18/03/2018 16:47:41,18/03/2018 16:51:47,18/03/2018 16:56:21,274,18/03/2018 16:56:46,18/03/2018 17:00:14,208
Scotland  UK,1642,Dalkeith,18/03/2018,18/03/2018 16:35:59,18/03/2018 17:36:44,3645,18/03/2018 16:57:03,18/03/2018 17:13:51,18/03/2018 17:17:07,18/03/2018 17:22:27,320,18/03/2018 17:22:39,18/03/2018 17:26:06,207
England  UK,1587,Seaham,18/03/2018,18/03/2018 16:07:51,0,0,18/03/2018 16:39:34,0,18/03/2018 16:43:09,18/03/2018 16:48:56,347,0,0,0
Scotland  UK,1644,Wishaw,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1627,Morpeth,18/03/2018,18/03/2018 16:33:39,18/03/2018 17:26:59,3200,18/03/2018 16:54:35,18/03/2018 17:09:42,18/03/2018 17:12:17,18/03/2018 17:17:26,309,18/03/2018 17:17:36,18/03/2018 17:20:54,198
England  UK,1649,Parkgate,18/03/2018,18/03/2018 16:00:07,18/03/2018 16:43:21,2594,18/03/2018 16:21:02,18/03/2018 16:30:01,18/03/2018 16:32:46,18/03/2018 16:37:04,258,18/03/2018 16:37:12,18/03/2018 16:38:56,104
Scotland  UK,1562,St Andrews,18/03/2018,18/03/2018 17:03:26,18/03/2018 18:18:52,4526,18/03/2018 17:33:00,18/03/2018 17:47:15,18/03/2018 17:49:50,18/03/2018 17:54:15,265,18/03/2018 17:54:24,18/03/2018 17:57:46,202
Scotland  UK,1671,Airdrie,18/03/2018,18/03/2018 15:57:57,18/03/2018 16:53:25,3328,18/03/2018 16:19:52,18/03/2018 16:35:15,18/03/2018 16:38:30,18/03/2018 16:43:29,299,18/03/2018 16:43:47,18/03/2018 16:47:49,242
England  UK,1672,Swaledale,18/03/2018,18/03/2018 16:06:39,18/03/2018 17:13:08,3989,18/03/2018 16:38:37,18/03/2018 16:53:28,18/03/2018 16:56:13,18/03/2018 17:01:20,307,18/03/2018 17:01:28,18/03/2018 17:04:42,194
Wales  UK,1816,Caernarfon,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland  UK,1677,Magherafelt,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
Scotland  UK,1686,Bathgate,18/03/2018,18/03/2018 16:03:27,18/03/2018 17:08:40,3913,18/03/2018 16:35:09,18/03/2018 16:49:59,18/03/2018 16:51:55,18/03/2018 16:55:54,239,18/03/2018 16:55:59,18/03/2018 16:58:41,162
England  UK,1726,Holborn,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1727,Brownhills,18/03/2018,18/03/2018 15:45:40,18/03/2018 16:40:23,3283,18/03/2018 16:10:59,18/03/2018 16:25:26,18/03/2018 16:28:02,18/03/2018 16:32:59,297,18/03/2018 16:33:08,18/03/2018 16:36:15,187
England  UK,1729,Coulby Newham,18/03/2018,18/03/2018 17:36:14,0,0,18/03/2018 18:10:09,0,18/03/2018 18:13:14,18/03/2018 18:18:10,296,0,0,0
England  UK,1734,Epping,18/03/2018,18/03/2018 16:19:44,18/03/2018 17:09:52,3008,18/03/2018 16:40:40,18/03/2018 16:54:14,18/03/2018 16:55:39,18/03/2018 16:58:34,175,18/03/2018 16:58:45,18/03/2018 17:00:36,111
Scotland  UK,1724,Largs,18/03/2018,18/03/2018 16:54:43,18/03/2018 17:41:56,2833,18/03/2018 17:15:33,18/03/2018 17:27:19,18/03/2018 17:29:24,18/03/2018 17:33:55,271,18/03/2018 17:34:11,18/03/2018 17:37:10,179
England  UK,1733,Market Drayton,18/03/2018,18/03/2018 16:08:31,18/03/2018 16:55:55,2844,18/03/2018 16:29:25,18/03/2018 16:42:43,18/03/2018 16:44:48,18/03/2018 16:49:02,254,18/03/2018 16:49:15,18/03/2018 16:50:42,87
Scotland  UK,1742,Stranraer,18/03/2018,18/03/2018 16:40:27,18/03/2018 17:37:48,3441,18/03/2018 17:10:15,18/03/2018 17:20:20,18/03/2018 17:22:45,18/03/2018 17:27:04,259,18/03/2018 17:27:10,18/03/2018 17:30:36,206
England  UK,1759,Muswell Hill,18/03/2018,18/03/2018 17:04:16,18/03/2018 17:51:31,2835,18/03/2018 17:25:13,18/03/2018 17:35:00,18/03/2018 17:37:55,18/03/2018 17:42:10,255,18/03/2018 17:42:26,18/03/2018 17:45:43,197
England  UK,1552,Royton,18/03/2018,18/03/2018 16:31:34,18/03/2018 17:24:30,3176,18/03/2018 16:52:39,18/03/2018 17:02:36,18/03/2018 17:05:11,18/03/2018 17:10:20,309,18/03/2018 17:10:30,18/03/2018 17:14:02,212
England  UK,1655,Whitstable,18/03/2018,18/03/2018 16:01:10,18/03/2018 16:52:54,3104,18/03/2018 16:22:05,18/03/2018 16:34:56,18/03/2018 16:37:32,18/03/2018 16:41:59,267,18/03/2018 16:42:10,18/03/2018 16:45:27,197
England  UK,1763,Kenilworth,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1652,West Bridgford,18/03/2018,18/03/2018 17:14:04,18/03/2018 18:09:20,3316,18/03/2018 17:35:12,18/03/2018 17:51:29,18/03/2018 17:54:44,18/03/2018 17:59:20,276,18/03/2018 17:59:43,18/03/2018 18:03:11,208
Scotland  UK,1772,Morningside,18/03/2018,18/03/2018 17:23:18,18/03/2018 18:29:28,3970,18/03/2018 17:56:15,18/03/2018 18:08:14,18/03/2018 18:10:19,18/03/2018 18:14:59,280,18/03/2018 18:15:11,18/03/2018 18:17:57,166
England  UK,1764,Harlesden,18/03/2018,18/03/2018 17:20:25,18/03/2018 18:42:32,4927,18/03/2018 17:40:52,18/03/2018 18:21:24,18/03/2018 18:26:40,18/03/2018 18:31:25,285,18/03/2018 18:31:50,18/03/2018 18:35:05,195
