Country,Store,Name,Date,EOD_Start,EOD_Finish,EOD_Duration,Backup_Start,Backup_end,Replication_Start,Replication_End,Replication_Duration,Deployment_Start,Deployment_End,Dep_Duration
England  UK,1,Basingstoke,11/12/2017,0,0,0,0,0,12/12/2017 8:00,12/12/2017 8:03,179,0,0,0
England  UK,2,Southampton,11/12/2017,11/12/2017 19:13,11/12/2017 22:19,11145,11/12/2017 19:37,11/12/2017 21:06,11/12/2017 21:26,11/12/2017 21:38,730,11/12/2017 21:39,11/12/2017 21:44,323
England  UK,3,Isle of Wight,11/12/2017,11/12/2017 18:22,11/12/2017 20:01,5964,11/12/2017 19:02,11/12/2017 19:20,11/12/2017 19:24,11/12/2017 19:29,274,11/12/2017 19:29,11/12/2017 19:30,98
Wales  UK,5,Port Talbot,11/12/2017,11/12/2017 18:15,11/12/2017 19:41,5178,11/12/2017 18:35,11/12/2017 19:15,11/12/2017 19:22,11/12/2017 19:26,269,11/12/2017 19:28,11/12/2017 19:29,93
England  UK,8,Peterborough,11/12/2017,11/12/2017 18:37,11/12/2017 22:01,12223,11/12/2017 19:01,11/12/2017 19:53,11/12/2017 20:06,11/12/2017 20:11,321,11/12/2017 20:14,11/12/2017 20:16,118
England  UK,10,Exeter,11/12/2017,11/12/2017 19:02,11/12/2017 22:04,10893,11/12/2017 19:46,11/12/2017 20:56,11/12/2017 21:08,11/12/2017 21:13,314,11/12/2017 21:16,11/12/2017 21:18,112
England  UK,11,St Austell,11/12/2017,11/12/2017 17:42,11/12/2017 18:45,3790,11/12/2017 18:03,11/12/2017 18:26,11/12/2017 18:32,11/12/2017 18:37,271,11/12/2017 18:37,11/12/2017 18:39,111
England  UK,12,Exmouth,11/12/2017,11/12/2017 18:09,11/12/2017 19:41,5517,11/12/2017 18:46,11/12/2017 19:09,11/12/2017 19:13,11/12/2017 19:18,278,11/12/2017 19:18,11/12/2017 19:20,104
Wales  UK,14,Swansea,11/12/2017,11/12/2017 18:18,11/12/2017 19:37,4731,11/12/2017 18:41,11/12/2017 19:15,11/12/2017 19:22,11/12/2017 19:26,225,11/12/2017 19:27,11/12/2017 19:29,101
England  UK,15,Bath,11/12/2017,11/12/2017 18:12,11/12/2017 20:42,8985,11/12/2017 18:57,11/12/2017 19:35,11/12/2017 19:42,11/12/2017 19:47,309,11/12/2017 19:48,11/12/2017 19:50,131
England  UK,16,Epsom,11/12/2017,11/12/2017 20:12,11/12/2017 21:35,4973,11/12/2017 20:44,11/12/2017 21:02,11/12/2017 21:06,11/12/2017 21:11,289,11/12/2017 21:12,11/12/2017 21:14,108
England  UK,21,Romford,11/12/2017,0,0,0,0,0,12/12/2017 8:00,12/12/2017 8:02,105,0,0,0
England  UK,22,Salisbury,11/12/2017,11/12/2017 17:44,11/12/2017 19:09,5054,11/12/2017 18:08,11/12/2017 18:46,11/12/2017 18:51,11/12/2017 18:56,326,11/12/2017 18:56,11/12/2017 18:58,106
England  UK,23,Derby,11/12/2017,11/12/2017 18:50,11/12/2017 20:52,7326,11/12/2017 19:14,11/12/2017 19:59,11/12/2017 20:12,11/12/2017 20:17,290,11/12/2017 20:20,11/12/2017 20:23,167
England  UK,24,Shrewsbury,11/12/2017,11/12/2017 17:52,11/12/2017 19:12,4747,11/12/2017 18:26,11/12/2017 18:47,11/12/2017 18:53,11/12/2017 18:59,355,11/12/2017 19:00,11/12/2017 19:05,276
England  UK,25,Ilkeston,11/12/2017,11/12/2017 17:47,0,0,11/12/2017 18:09,0,11/12/2017 18:14,11/12/2017 18:18,223,0,0,0
England  UK,26,Dunstable,11/12/2017,11/12/2017 17:40,11/12/2017 18:55,4493,11/12/2017 18:15,11/12/2017 18:37,11/12/2017 18:42,11/12/2017 18:47,274,11/12/2017 18:47,11/12/2017 18:48,94
England  UK,28,Stourbridge,11/12/2017,11/12/2017 18:13,11/12/2017 19:18,3878,11/12/2017 18:48,11/12/2017 19:01,11/12/2017 19:06,11/12/2017 19:11,264,11/12/2017 19:11,11/12/2017 19:13,90
England  UK,29,Brighton,11/12/2017,11/12/2017 19:42,11/12/2017 21:36,6866,11/12/2017 20:21,11/12/2017 20:48,11/12/2017 20:55,11/12/2017 21:00,299,0,0,0
England  UK,31,Arnold,11/12/2017,11/12/2017 17:54,11/12/2017 19:58,7420,11/12/2017 18:33,11/12/2017 19:01,11/12/2017 19:07,11/12/2017 19:10,218,11/12/2017 19:10,11/12/2017 19:12,91
England  UK,32,Boston,11/12/2017,11/12/2017 17:50,11/12/2017 20:29,9522,11/12/2017 19:21,11/12/2017 20:00,11/12/2017 20:08,11/12/2017 20:13,355,11/12/2017 20:14,11/12/2017 20:17,184
England  UK,33,Cambridge,11/12/2017,11/12/2017 19:10,0,0,11/12/2017 19:40,0,11/12/2017 19:44,11/12/2017 19:47,218,0,0,0
England  UK,34,Chelmsford,11/12/2017,11/12/2017 18:40,11/12/2017 21:15,9263,11/12/2017 19:02,11/12/2017 19:41,11/12/2017 19:49,11/12/2017 19:54,280,11/12/2017 19:55,11/12/2017 19:57,107
England  UK,35,Colchester,11/12/2017,11/12/2017 21:08,11/12/2017 23:27,8350,11/12/2017 21:30,11/12/2017 22:05,11/12/2017 22:12,11/12/2017 22:16,289,11/12/2017 22:18,11/12/2017 22:19,104
