Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,03/06/2019,-,-,-,-,-,,04/06/2019 00:01:33,04/06/2019 00:04:48,195,-,-,,,
England  UK,0002,Southampton,03/06/2019,03/06/2019 19:25:00,03/06/2019 20:33:32,4112,03/06/2019 19:48:08,03/06/2019 20:15:50,,03/06/2019 20:22:15,03/06/2019 20:23:59,104,03/06/2019 20:24:15,03/06/2019 20:25:50,95,,
England  UK,0003,Isle of Wight,03/06/2019,03/06/2019 18:08:03,03/06/2019 20:09:52,7309,03/06/2019 18:47:16,03/06/2019 19:09:43,,03/06/2019 19:13:48,03/06/2019 19:19:12,324,03/06/2019 19:19:27,03/06/2019 19:22:15,168,,
Wales  UK,0005,Port Talbot,03/06/2019,03/06/2019 17:37:35,03/06/2019 18:35:51,3496,03/06/2019 18:11:49,03/06/2019 18:20:13,,03/06/2019 18:23:39,03/06/2019 18:28:18,279,03/06/2019 18:28:50,03/06/2019 18:31:12,142,,
England  UK,0008,Peterborough,03/06/2019,03/06/2019 18:16:23,-,-,03/06/2019 18:39:24,-,,03/06/2019 18:45:59,03/06/2019 18:48:48,169,-,-,,,
England  UK,0010,Exeter,03/06/2019,03/06/2019 19:03:45,-,-,03/06/2019 19:49:25,-,,03/06/2019 21:17:47,03/06/2019 21:23:16,329,-,-,,,
England  UK,0011,St Austell,03/06/2019,03/06/2019 17:43:11,03/06/2019 18:49:45,3994,03/06/2019 18:04:28,03/06/2019 18:29:41,,03/06/2019 18:36:16,03/06/2019 18:41:01,285,03/06/2019 18:41:17,03/06/2019 18:44:12,175,,
England  UK,0012,Exmouth,03/06/2019,03/06/2019 18:13:30,03/06/2019 19:50:37,5827,03/06/2019 18:50:00,03/06/2019 19:18:22,,03/06/2019 19:22:08,03/06/2019 19:26:47,279,03/06/2019 19:27:21,03/06/2019 19:29:48,147,,
Wales  UK,0014,Swansea,03/06/2019,03/06/2019 18:38:47,03/06/2019 20:02:41,5034,03/06/2019 19:01:02,03/06/2019 19:37:34,,03/06/2019 19:45:10,03/06/2019 19:48:54,224,03/06/2019 19:52:06,03/06/2019 19:55:48,222,,
England  UK,0015,Bath,03/06/2019,03/06/2019 18:09:51,03/06/2019 20:53:00,9789,03/06/2019 18:54:55,03/06/2019 19:38:00,,03/06/2019 19:45:45,03/06/2019 19:51:04,319,03/06/2019 19:54:21,03/06/2019 19:57:02,161,,
England  UK,0016,Epsom,03/06/2019,03/06/2019 22:42:50,03/06/2019 23:46:56,3846,03/06/2019 22:48:26,03/06/2019 23:09:34,,03/06/2019 23:14:29,03/06/2019 23:19:13,284,03/06/2019 23:20:11,03/06/2019 23:22:48,157,,
England  UK,0021,Romford,03/06/2019,-,-,-,-,-,,04/06/2019 00:02:02,04/06/2019 00:06:02,240,-,-,,,
England  UK,0022,Salisbury,03/06/2019,03/06/2019 17:42:44,03/06/2019 19:12:26,5382,03/06/2019 18:05:50,03/06/2019 18:48:20,,03/06/2019 18:53:25,03/06/2019 18:58:20,295,03/06/2019 18:58:34,03/06/2019 19:00:43,129,,
England  UK,0023,Derby,03/06/2019,-,-,-,-,-,,04/06/2019 00:02:32,04/06/2019 00:24:32,1320,-,-,,,
England  UK,0024,Shrewsbury,03/06/2019,03/06/2019 18:05:54,03/06/2019 19:29:27,5013,03/06/2019 18:39:37,03/06/2019 19:08:56,,03/06/2019 19:14:21,03/06/2019 19:19:36,315,03/06/2019 19:20:22,03/06/2019 19:22:52,150,,
England  UK,0025,Ilkeston,03/06/2019,03/06/2019 17:51:29,03/06/2019 19:53:46,7337,03/06/2019 18:13:36,03/06/2019 18:47:36,,03/06/2019 18:52:52,03/06/2019 18:57:40,288,03/06/2019 18:59:01,03/06/2019 19:01:55,174,,
England  UK,0026,Dunstable,03/06/2019,03/06/2019 17:49:03,03/06/2019 19:11:18,4935,03/06/2019 18:23:26,03/06/2019 18:50:17,,03/06/2019 18:55:33,03/06/2019 19:00:06,273,03/06/2019 19:00:22,03/06/2019 19:02:51,149,,
England  UK,0028,Stourbridge,03/06/2019,03/06/2019 18:12:40,-,-,03/06/2019 18:46:57,-,,03/06/2019 19:12:08,03/06/2019 19:18:22,374,-,-,,,
England  UK,0029,Brighton,03/06/2019,03/06/2019 19:31:01,03/06/2019 21:53:19,8538,03/06/2019 20:15:39,03/06/2019 20:52:02,,03/06/2019 20:58:47,03/06/2019 21:04:46,359,03/06/2019 21:05:00,03/06/2019 21:08:31,211,,
England  UK,0031,Arnold,03/06/2019,03/06/2019 17:47:48,03/06/2019 20:11:00,8592,03/06/2019 18:29:29,03/06/2019 19:02:16,,03/06/2019 19:08:02,03/06/2019 19:17:27,565,03/06/2019 19:17:42,03/06/2019 19:20:17,155,,
England  UK,0032,Boston,03/06/2019,03/06/2019 17:59:11,03/06/2019 19:04:10,3899,03/06/2019 18:43:16,03/06/2019 18:54:19,,03/06/2019 18:56:04,03/06/2019 18:59:09,185,03/06/2019 18:59:33,03/06/2019 19:00:50,77,,
England  UK,0033,Cambridge,03/06/2019,03/06/2019 19:13:37,03/06/2019 20:38:56,5119,03/06/2019 19:44:14,03/06/2019 20:14:25,,03/06/2019 20:18:51,03/06/2019 20:23:24,273,03/06/2019 20:24:37,03/06/2019 20:27:11,154,,
England  UK,0034,Chelmsford,03/06/2019,03/06/2019 18:24:07,03/06/2019 20:52:21,8894,03/06/2019 18:46:04,03/06/2019 19:18:08,,03/06/2019 19:25:04,03/06/2019 19:30:58,354,03/06/2019 19:32:30,03/06/2019 19:35:12,162,,
England  UK,0035,Colchester,03/06/2019,03/06/2019 22:14:22,04/06/2019 00:44:16,8994,03/06/2019 22:19:49,03/06/2019 23:02:40,,03/06/2019 23:11:05,03/06/2019 23:16:10,305,03/06/2019 23:18:41,03/06/2019 23:22:03,202,,
England  UK,0036,Ipswich,03/06/2019,03/06/2019 18:09:18,03/06/2019 20:16:30,7632,03/06/2019 18:33:26,03/06/2019 19:33:24,,03/06/2019 19:42:20,03/06/2019 19:47:20,300,03/06/2019 19:47:50,03/06/2019 19:50:18,148,,
England  UK,0037,Kettering,03/06/2019,03/06/2019 17:54:59,03/06/2019 19:17:35,4956,03/06/2019 18:29:51,03/06/2019 18:56:23,,03/06/2019 19:01:58,03/06/2019 19:06:56,298,03/06/2019 19:08:01,03/06/2019 19:11:26,205,,
England  UK,0039,Leicester,03/06/2019,03/06/2019 19:40:14,03/06/2019 23:09:34,12560,03/06/2019 20:03:24,03/06/2019 21:00:02,,03/06/2019 21:11:07,03/06/2019 21:16:07,300,03/06/2019 21:19:19,03/06/2019 21:23:57,278,,
England  UK,0040,Nottingham,03/06/2019,03/06/2019 20:28:47,-,-,03/06/2019 21:16:10,-,,03/06/2019 22:12:28,03/06/2019 22:17:42,314,-,-,,,
England  UK,0041,Southend,03/06/2019,03/06/2019 19:13:14,03/06/2019 21:25:03,7909,03/06/2019 19:35:10,03/06/2019 20:12:52,,03/06/2019 20:19:57,03/06/2019 20:25:06,309,03/06/2019 20:27:08,03/06/2019 20:30:50,222,,
England  UK,0045,Bromsgrove,03/06/2019,03/06/2019 17:42:12,03/06/2019 18:50:17,4085,03/06/2019 18:12:49,03/06/2019 18:30:13,,03/06/2019 18:33:18,03/06/2019 18:38:32,314,03/06/2019 18:39:07,03/06/2019 18:41:39,152,,
England  UK,0046,Cannock,03/06/2019,03/06/2019 18:32:32,03/06/2019 20:00:15,5263,03/06/2019 19:07:34,03/06/2019 19:35:25,,03/06/2019 19:41:31,03/06/2019 19:47:21,350,03/06/2019 19:48:08,03/06/2019 19:51:26,198,,
England  UK,0047,Cheltenham,03/06/2019,03/06/2019 18:18:53,03/06/2019 20:12:00,6787,03/06/2019 18:41:03,03/06/2019 19:07:54,,03/06/2019 19:12:59,03/06/2019 19:19:13,374,03/06/2019 19:20:35,03/06/2019 19:24:04,209,,
England  UK,0048,Congleton,03/06/2019,03/06/2019 18:19:44,03/06/2019 19:31:14,4290,03/06/2019 18:56:34,03/06/2019 19:14:58,,03/06/2019 19:18:43,03/06/2019 19:22:22,219,03/06/2019 19:22:31,03/06/2019 19:24:56,145,,
England  UK,0049,Croydon,03/06/2019,03/06/2019 17:50:42,03/06/2019 19:17:18,5196,03/06/2019 18:11:40,03/06/2019 18:31:21,,03/06/2019 18:37:56,03/06/2019 18:48:07,611,03/06/2019 18:48:40,03/06/2019 18:54:07,327,,
England  UK,0050,Eastbourne,03/06/2019,03/06/2019 18:36:38,03/06/2019 21:31:03,10465,03/06/2019 19:19:14,03/06/2019 20:01:44,,03/06/2019 20:09:30,03/06/2019 20:15:34,364,03/06/2019 20:18:41,03/06/2019 20:24:04,323,,
England  UK,0052,Bedford,03/06/2019,03/06/2019 18:25:18,03/06/2019 20:49:06,8628,03/06/2019 18:48:28,03/06/2019 19:32:44,,03/06/2019 19:42:10,03/06/2019 19:45:38,208,-,-,,,
England  UK,0053,Hereford,03/06/2019,03/06/2019 18:44:23,-,-,03/06/2019 19:07:43,-,,03/06/2019 20:02:11,03/06/2019 20:07:21,310,-,-,,,
England  UK,0054,Hitchin,03/06/2019,03/06/2019 18:11:43,03/06/2019 19:09:33,3470,03/06/2019 18:32:41,03/06/2019 18:50:24,,03/06/2019 18:54:49,03/06/2019 18:59:38,289,03/06/2019 19:00:49,03/06/2019 19:03:19,150,,
