Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,15/07/2019,15/07/2019 19:27:51,15/07/2019 21:30:36,7365,15/07/2019 20:16:06,15/07/2019 20:46:08,,15/07/2019 20:52:03,15/07/2019 20:57:27,324,15/07/2019 20:58:26,15/07/2019 21:03:17,291,,
England  UK,0002,Southampton,15/07/2019,15/07/2019 20:43:57,15/07/2019 21:59:44,4547,15/07/2019 21:08:05,15/07/2019 21:36:24,,15/07/2019 21:43:49,15/07/2019 21:47:28,219,15/07/2019 21:47:41,15/07/2019 21:50:12,151,,
England  UK,0003,Isle of Wight,15/07/2019,15/07/2019 18:07:22,15/07/2019 20:21:08,8026,15/07/2019 18:47:14,15/07/2019 19:10:00,,15/07/2019 19:14:05,15/07/2019 19:18:50,285,15/07/2019 19:19:05,15/07/2019 19:33:20,855,,
Wales  UK,0005,Port Talbot,15/07/2019,15/07/2019 17:44:17,15/07/2019 18:51:32,4035,15/07/2019 18:18:36,15/07/2019 18:30:49,,15/07/2019 18:34:14,15/07/2019 18:38:43,269,15/07/2019 18:39:12,15/07/2019 18:42:36,204,,
England  UK,0008,Peterborough,15/07/2019,15/07/2019 18:23:25,15/07/2019 21:30:02,11197,15/07/2019 19:09:58,15/07/2019 19:52:27,,15/07/2019 20:00:23,15/07/2019 20:04:47,264,-,-,,,
England  UK,0010,Exeter,15/07/2019,15/07/2019 19:08:30,15/07/2019 22:33:08,12278,15/07/2019 19:53:54,15/07/2019 21:10:47,,15/07/2019 21:24:02,15/07/2019 21:30:33,391,15/07/2019 21:35:21,15/07/2019 21:40:30,309,,
England  UK,0011,St Austell,15/07/2019,15/07/2019 17:42:50,15/07/2019 18:50:43,4073,15/07/2019 18:03:54,15/07/2019 18:29:14,,15/07/2019 18:35:59,15/07/2019 18:41:03,304,15/07/2019 18:41:20,15/07/2019 18:45:24,244,,
England  UK,0012,Exmouth,15/07/2019,15/07/2019 18:15:13,15/07/2019 19:46:56,5503,15/07/2019 18:52:00,15/07/2019 19:16:25,,15/07/2019 19:20:00,15/07/2019 19:24:30,270,15/07/2019 19:25:05,15/07/2019 19:28:20,195,,
Wales  UK,0014,Swansea,15/07/2019,15/07/2019 18:16:13,15/07/2019 19:29:40,4407,15/07/2019 18:38:17,15/07/2019 19:08:58,,15/07/2019 19:14:44,15/07/2019 19:19:13,269,15/07/2019 19:22:01,15/07/2019 19:25:48,227,,
England  UK,0015,Bath,15/07/2019,15/07/2019 18:12:06,15/07/2019 20:49:22,9436,15/07/2019 18:57:53,15/07/2019 19:41:14,,15/07/2019 19:49:00,15/07/2019 19:53:39,279,-,-,,,
England  UK,0016,Epsom,15/07/2019,15/07/2019 20:22:28,15/07/2019 22:00:12,5864,15/07/2019 20:53:35,15/07/2019 21:17:20,,15/07/2019 21:22:16,15/07/2019 21:27:59,343,15/07/2019 21:28:50,15/07/2019 21:33:08,258,,
England  UK,0021,Romford,15/07/2019,15/07/2019 18:45:02,15/07/2019 21:37:35,10353,15/07/2019 19:26:24,15/07/2019 20:29:01,,15/07/2019 20:34:07,15/07/2019 20:37:00,173,15/07/2019 20:38:00,15/07/2019 20:39:28,88,,
England  UK,0022,Salisbury,15/07/2019,15/07/2019 17:42:22,-,-,15/07/2019 18:06:30,-,,15/07/2019 18:52:17,15/07/2019 18:57:45,328,-,-,,,
England  UK,0023,Derby,15/07/2019,15/07/2019 18:26:32,15/07/2019 20:04:11,5859,15/07/2019 18:50:30,15/07/2019 19:21:18,,15/07/2019 19:29:13,15/07/2019 19:33:52,279,15/07/2019 19:37:39,15/07/2019 19:41:00,201,,
England  UK,0024,Shrewsbury,15/07/2019,15/07/2019 18:17:37,15/07/2019 19:37:36,4799,15/07/2019 18:50:59,15/07/2019 19:16:35,,15/07/2019 19:22:00,15/07/2019 19:26:49,289,15/07/2019 19:28:38,15/07/2019 19:32:24,226,,
England  UK,0025,Ilkeston,15/07/2019,15/07/2019 17:49:19,15/07/2019 19:57:44,7705,15/07/2019 18:11:24,15/07/2019 18:47:18,,15/07/2019 18:53:03,15/07/2019 18:58:08,305,15/07/2019 18:58:45,15/07/2019 19:03:41,296,,
England  UK,0026,Dunstable,15/07/2019,15/07/2019 17:57:14,15/07/2019 19:26:03,5329,15/07/2019 18:31:49,15/07/2019 18:58:50,,15/07/2019 19:04:15,15/07/2019 19:13:05,530,15/07/2019 19:13:13,15/07/2019 19:17:05,232,,
England  UK,0028,Stourbridge,15/07/2019,15/07/2019 18:13:21,15/07/2019 19:29:12,4551,15/07/2019 18:47:58,15/07/2019 19:09:10,,15/07/2019 19:14:25,15/07/2019 19:19:21,296,15/07/2019 19:19:49,15/07/2019 19:23:32,223,,
England  UK,0029,Brighton,15/07/2019,15/07/2019 20:11:21,15/07/2019 22:27:04,8143,15/07/2019 20:56:11,15/07/2019 21:27:56,,15/07/2019 21:35:32,15/07/2019 21:41:01,329,15/07/2019 21:41:15,15/07/2019 21:46:27,312,,
England  UK,0031,Arnold,15/07/2019,15/07/2019 17:54:05,15/07/2019 20:19:56,8751,15/07/2019 18:38:44,15/07/2019 19:11:31,,15/07/2019 19:17:46,15/07/2019 19:22:51,305,15/07/2019 19:23:07,15/07/2019 19:26:45,218,,
England  UK,0032,Boston,15/07/2019,15/07/2019 18:17:23,15/07/2019 19:24:34,4031,15/07/2019 19:01:32,15/07/2019 19:12:41,,15/07/2019 19:14:56,15/07/2019 19:18:29,213,15/07/2019 19:18:52,15/07/2019 19:20:49,117,,
England  UK,0033,Cambridge,15/07/2019,15/07/2019 19:16:16,15/07/2019 20:43:59,5263,15/07/2019 19:46:53,15/07/2019 20:17:44,,15/07/2019 20:22:09,15/07/2019 20:27:24,315,15/07/2019 20:28:36,15/07/2019 20:32:31,235,,
England  UK,0034,Chelmsford,15/07/2019,15/07/2019 18:23:42,15/07/2019 21:11:41,10079,15/07/2019 18:58:53,15/07/2019 19:31:51,,15/07/2019 19:39:07,15/07/2019 19:45:36,389,15/07/2019 19:46:39,15/07/2019 19:53:45,426,,
England  UK,0035,Colchester,15/07/2019,15/07/2019 21:54:43,16/07/2019 01:04:38,11395,15/07/2019 22:39:53,15/07/2019 23:23:44,,15/07/2019 23:31:30,15/07/2019 23:36:14,284,15/07/2019 23:37:25,15/07/2019 23:41:58,273,,
England  UK,0036,Ipswich,15/07/2019,15/07/2019 18:12:57,15/07/2019 20:13:27,7230,15/07/2019 18:37:04,15/07/2019 19:29:39,,15/07/2019 19:39:05,15/07/2019 19:45:19,374,15/07/2019 19:45:45,15/07/2019 19:49:27,222,,
England  UK,0037,Kettering,15/07/2019,15/07/2019 17:55:59,15/07/2019 19:25:33,5374,15/07/2019 18:30:51,15/07/2019 18:57:48,,15/07/2019 19:02:53,15/07/2019 19:11:16,503,15/07/2019 19:12:56,15/07/2019 19:18:23,327,,
England  UK,0039,Leicester,15/07/2019,15/07/2019 20:49:31,16/07/2019 00:21:12,12701,15/07/2019 21:12:41,15/07/2019 22:08:56,,15/07/2019 22:20:32,15/07/2019 22:25:41,309,15/07/2019 22:28:24,15/07/2019 22:34:25,361,,
England  UK,0040,Nottingham,15/07/2019,15/07/2019 19:05:11,15/07/2019 22:17:33,11542,15/07/2019 19:53:09,15/07/2019 20:41:57,,15/07/2019 20:52:12,15/07/2019 20:57:37,325,-,-,,,
