Country,Store,Name,Date,EOD_Start,EOD_Finish,EOD_Duration,Backup_Start,Backup_end,Replication_Start,Replication_End,Replication_Duration,Deployment_Start,Deployment_End,Dep_Duration
England  UK,2,Southampton,27/02/2018,27/02/2018 18:54:26,27/02/2018 22:03:48,11362,27/02/2018 19:17:21,27/02/2018 20:46:26,27/02/2018 21:07:12,27/02/2018 21:19:28,736,27/02/2018 21:19:48,27/02/2018 21:30:38,650
England  UK,3,Isle of Wight,27/02/2018,27/02/2018 18:10:51,27/02/2018 19:45:17,5666,27/02/2018 18:50:45,27/02/2018 19:09:38,27/02/2018 19:13:34,27/02/2018 19:18:54,320,27/02/2018 19:19:01,27/02/2018 19:22:15,194
Wales  UK,5,Port Talbot,27/02/2018,27/02/2018 18:25:58,27/02/2018 19:53:32,5254,27/02/2018 18:46:22,27/02/2018 19:27:00,27/02/2018 19:33:46,27/02/2018 19:38:25,279,27/02/2018 19:38:32,27/02/2018 19:41:36,184
England  UK,8,Peterborough,27/02/2018,27/02/2018 18:35:08,27/02/2018 22:00:12,12304,27/02/2018 18:58:29,27/02/2018 19:48:50,27/02/2018 20:01:26,27/02/2018 20:06:37,311,27/02/2018 20:08:16,27/02/2018 20:11:54,218
England  UK,10,Exeter,27/02/2018,27/02/2018 18:46:04,27/02/2018 21:45:01,10737,27/02/2018 19:30:29,27/02/2018 20:35:49,27/02/2018 20:48:04,27/02/2018 20:53:34,330,27/02/2018 20:54:56,27/02/2018 20:58:47,231
England  UK,11,St Austell,27/02/2018,27/02/2018 17:40:36,27/02/2018 18:45:01,3865,27/02/2018 18:01:56,27/02/2018 18:25:18,27/02/2018 18:31:53,27/02/2018 18:35:49,236,27/02/2018 18:36:02,27/02/2018 18:39:25,203
England  UK,12,Exmouth,27/02/2018,27/02/2018 18:09:56,27/02/2018 19:39:44,5388,27/02/2018 18:46:59,27/02/2018 19:08:05,27/02/2018 19:12:00,27/02/2018 19:16:55,295,27/02/2018 19:17:13,27/02/2018 19:20:43,210
Wales  UK,14,Swansea,27/02/2018,27/02/2018 18:19:52,27/02/2018 19:40:05,4813,27/02/2018 18:42:22,27/02/2018 19:16:46,27/02/2018 19:24:01,27/02/2018 19:28:56,295,27/02/2018 19:29:43,27/02/2018 19:32:59,196
England  UK,15,Bath,27/02/2018,27/02/2018 18:08:29,27/02/2018 20:41:05,9156,27/02/2018 18:54:06,27/02/2018 19:32:02,27/02/2018 19:39:08,27/02/2018 19:44:37,329,27/02/2018 19:45:18,27/02/2018 19:49:30,252
England  UK,16,Epsom,27/02/2018,27/02/2018 19:56:09,27/02/2018 21:22:36,5187,27/02/2018 20:27:16,27/02/2018 20:47:25,27/02/2018 20:51:51,27/02/2018 20:55:50,239,27/02/2018 20:56:19,27/02/2018 20:59:46,207
England  UK,21,Romford,27/02/2018,27/02/2018 19:16:11,NULL,0,27/02/2018 19:52:32,NULL,27/02/2018 20:52:58,27/02/2018 20:55:39,161,NULL,NULL,0
England  UK,22,Salisbury,27/02/2018,27/02/2018 17:36:56,27/02/2018 19:02:50,5154,27/02/2018 18:00:02,27/02/2018 18:39:51,27/02/2018 18:44:46,27/02/2018 18:48:35,229,27/02/2018 18:48:43,27/02/2018 18:51:53,190
England  UK,23,Derby,27/02/2018,27/02/2018 18:43:22,NULL,0,27/02/2018 19:07:33,NULL,27/02/2018 19:19:59,27/02/2018 19:25:13,314,NULL,NULL,0
England  UK,24,Shrewsbury,27/02/2018,27/02/2018 17:50:26,27/02/2018 19:06:22,4556,27/02/2018 18:22:56,27/02/2018 18:47:06,27/02/2018 18:52:22,27/02/2018 18:56:01,219,27/02/2018 18:56:20,27/02/2018 18:59:28,188
England  UK,25,Ilkeston,27/02/2018,27/02/2018 19:16:17,27/02/2018 21:12:59,7002,27/02/2018 19:38:22,27/02/2018 20:08:27,27/02/2018 20:13:43,27/02/2018 20:18:26,283,27/02/2018 20:19:07,27/02/2018 20:22:43,216
England  UK,26,Dunstable,27/02/2018,27/02/2018 17:43:28,27/02/2018 19:00:28,4620,27/02/2018 18:18:15,27/02/2018 18:40:44,27/02/2018 18:45:59,27/02/2018 18:51:07,308,27/02/2018 18:51:17,27/02/2018 18:54:29,192
England  UK,28,Stourbridge,27/02/2018,27/02/2018 18:16:31,27/02/2018 19:21:21,3890,27/02/2018 18:50:44,27/02/2018 19:04:13,27/02/2018 19:09:19,27/02/2018 19:12:57,218,27/02/2018 19:13:12,27/02/2018 19:16:18,186
England  UK,31,Arnold,27/02/2018,27/02/2018 18:44:20,27/02/2018 20:50:30,7570,27/02/2018 19:22:15,27/02/2018 19:50:26,27/02/2018 19:56:22,27/02/2018 20:01:10,288,27/02/2018 20:01:19,27/02/2018 20:04:25,186
England  UK,32,Boston,27/02/2018,27/02/2018 18:07:19,27/02/2018 20:48:08,9649,27/02/2018 19:38:07,27/02/2018 20:16:37,27/02/2018 20:23:53,27/02/2018 20:30:48,415,27/02/2018 20:31:16,27/02/2018 20:36:46,330
England  UK,33,Cambridge,27/02/2018,27/02/2018 18:27:36,27/02/2018 19:45:37,4681,27/02/2018 18:59:14,27/02/2018 19:21:56,27/02/2018 19:26:11,27/02/2018 19:31:05,294,27/02/2018 19:31:28,27/02/2018 19:34:36,188
England  UK,34,Chelmsford,27/02/2018,27/02/2018 18:30:23,27/02/2018 21:07:03,9400,27/02/2018 18:52:28,27/02/2018 19:31:58,27/02/2018 19:39:53,27/02/2018 19:43:23,210,27/02/2018 19:44:47,27/02/2018 19:48:13,206
England  UK,35,Colchester,27/02/2018,27/02/2018 18:00:13,27/02/2018 20:45:02,9889,27/02/2018 18:44:39,27/02/2018 19:19:58,27/02/2018 19:26:53,27/02/2018 19:31:33,280,27/02/2018 19:32:17,27/02/2018 19:35:31,194
England  UK,36,Ipswich,27/02/2018,27/02/2018 18:34:22,27/02/2018 22:58:03,15821,27/02/2018 18:58:19,27/02/2018 21:30:18,27/02/2018 21:48:44,27/02/2018 21:54:14,330,27/02/2018 21:54:41,27/02/2018 21:58:02,201
England  UK,37,Kettering,27/02/2018,27/02/2018 17:49:47,27/02/2018 19:03:34,4427,27/02/2018 18:25:29,27/02/2018 18:44:40,27/02/2018 18:49:35,27/02/2018 18:54:45,310,27/02/2018 18:55:09,27/02/2018 18:58:18,189
England  UK,39,Leicester,27/02/2018,27/02/2018 19:16:38,27/02/2018 22:25:23,11325,27/02/2018 19:39:55,27/02/2018 20:28:12,27/02/2018 20:38:37,27/02/2018 20:43:53,316,27/02/2018 20:46:20,27/02/2018 20:50:07,227
England  UK,40,Nottingham,27/02/2018,27/02/2018 18:44:59,27/02/2018 22:43:32,14313,27/02/2018 19:30:25,27/02/2018 20:38:45,27/02/2018 20:50:51,27/02/2018 20:55:40,289,27/02/2018 20:57:49,27/02/2018 21:01:30,221
England  UK,41,Southend,27/02/2018,27/02/2018 18:47:37,27/02/2018 20:56:54,7757,27/02/2018 19:08:34,27/02/2018 19:46:43,27/02/2018 19:53:08,27/02/2018 19:58:03,295,27/02/2018 19:59:51,27/02/2018 20:02:39,168
England  UK,45,Bromsgrove,27/02/2018,27/02/2018 17:43:40,27/02/2018 18:44:39,3659,27/02/2018 18:14:23,27/02/2018 18:28:31,27/02/2018 18:31:36,27/02/2018 18:35:55,259,27/02/2018 18:36:07,27/02/2018 18:39:25,198
England  UK,46,Cannock,27/02/2018,27/02/2018 17:45:23,27/02/2018 18:57:30,4327,27/02/2018 18:19:44,27/02/2018 18:38:18,27/02/2018 18:42:53,27/02/2018 18:47:28,275,27/02/2018 18:47:48,27/02/2018 18:51:03,195
England  UK,47,Cheltenham,27/02/2018,27/02/2018 18:13:28,27/02/2018 19:54:22,6054,27/02/2018 18:35:34,27/02/2018 18:59:30,27/02/2018 19:04:55,27/02/2018 19:08:39,224,27/02/2018 19:09:24,27/02/2018 19:12:33,189
