Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,18/02/2019,18/02/2019 21:31:59,18/02/2019 23:26:17,6858,18/02/2019 22:18:15,18/02/2019 22:45:28,,18/02/2019 22:50:53,18/02/2019 22:56:12,319,18/02/2019 22:57:32,18/02/2019 23:00:21,169,,
England  UK,0002,Southampton,18/02/2019,18/02/2019 19:54:15,-,-,18/02/2019 20:18:51,-,,18/02/2019 20:38:39,18/02/2019 20:47:14,515,-,-,,,
England  UK,0003,Isle of Wight,18/02/2019,18/02/2019 18:11:10,18/02/2019 20:21:55,7845,18/02/2019 18:51:09,18/02/2019 19:13:02,,18/02/2019 19:17:17,18/02/2019 19:22:12,295,18/02/2019 19:22:27,18/02/2019 19:29:36,429,,
Wales  UK,0005,Port Talbot,18/02/2019,18/02/2019 17:45:37,18/02/2019 18:51:28,3951,18/02/2019 18:19:54,18/02/2019 18:31:10,,18/02/2019 18:34:35,18/02/2019 18:39:14,279,18/02/2019 18:39:41,18/02/2019 18:46:20,399,,
England  UK,0008,Peterborough,18/02/2019,18/02/2019 18:40:15,18/02/2019 22:23:59,13424,18/02/2019 19:03:33,18/02/2019 19:57:38,,18/02/2019 20:11:24,18/02/2019 20:18:19,415,18/02/2019 20:23:37,18/02/2019 20:31:18,461,,
England  UK,0010,Exeter,18/02/2019,18/02/2019 19:02:27,18/02/2019 22:16:19,11632,18/02/2019 19:48:04,18/02/2019 21:02:30,,18/02/2019 21:15:06,18/02/2019 21:20:51,345,18/02/2019 21:23:46,18/02/2019 21:26:57,191,,
England  UK,0011,St Austell,18/02/2019,18/02/2019 17:44:40,18/02/2019 18:51:05,3985,18/02/2019 18:05:59,18/02/2019 18:30:31,,18/02/2019 18:37:07,18/02/2019 18:42:17,310,18/02/2019 18:42:34,18/02/2019 18:45:35,181,,
England  UK,0012,Exmouth,18/02/2019,18/02/2019 18:07:25,18/02/2019 19:42:56,5731,18/02/2019 18:44:06,18/02/2019 19:10:16,,18/02/2019 19:14:02,18/02/2019 19:19:01,299,18/02/2019 19:19:20,18/02/2019 19:21:54,154,,
Wales  UK,0014,Swansea,18/02/2019,18/02/2019 18:27:01,18/02/2019 19:55:07,5286,18/02/2019 18:49:23,18/02/2019 19:25:08,,18/02/2019 19:32:44,18/02/2019 19:38:48,364,18/02/2019 19:41:51,18/02/2019 19:48:45,414,,
England  UK,0015,Bath,18/02/2019,18/02/2019 18:09:58,18/02/2019 20:48:34,9516,18/02/2019 18:55:43,18/02/2019 19:36:56,,18/02/2019 19:44:32,18/02/2019 19:50:52,380,18/02/2019 19:52:03,18/02/2019 19:55:30,207,,
England  UK,0016,Epsom,18/02/2019,18/02/2019 18:48:56,18/02/2019 20:22:27,5611,18/02/2019 19:20:36,18/02/2019 19:43:35,,18/02/2019 19:48:30,18/02/2019 19:54:09,339,18/02/2019 19:54:53,18/02/2019 19:57:40,167,,
England  UK,0021,Romford,18/02/2019,18/02/2019 18:55:28,-,-,18/02/2019 19:34:13,-,,18/02/2019 20:36:46,18/02/2019 20:39:36,170,-,-,,,
England  UK,0022,Salisbury,18/02/2019,18/02/2019 17:41:22,18/02/2019 19:16:07,5685,18/02/2019 18:05:28,18/02/2019 18:47:16,,18/02/2019 18:52:32,18/02/2019 18:59:14,402,18/02/2019 18:59:39,18/02/2019 19:04:23,284,,
England  UK,0023,Derby,18/02/2019,18/02/2019 18:46:13,18/02/2019 20:58:47,7954,18/02/2019 19:10:59,18/02/2019 19:54:39,,18/02/2019 20:08:55,18/02/2019 20:15:41,406,-,-,,,
England  UK,0024,Shrewsbury,18/02/2019,18/02/2019 18:28:28,18/02/2019 19:47:14,4726,18/02/2019 19:01:42,18/02/2019 19:26:12,,18/02/2019 19:31:37,18/02/2019 19:36:50,313,18/02/2019 19:37:38,18/02/2019 19:40:23,165,,
England  UK,0025,Ilkeston,18/02/2019,18/02/2019 17:48:45,18/02/2019 19:54:10,7525,18/02/2019 18:10:50,18/02/2019 18:45:59,,18/02/2019 18:51:34,18/02/2019 18:56:53,319,18/02/2019 18:57:45,18/02/2019 19:00:35,170,,
England  UK,0026,Dunstable,18/02/2019,18/02/2019 17:51:53,18/02/2019 19:13:53,4920,18/02/2019 18:26:36,18/02/2019 18:52:26,,18/02/2019 18:57:41,18/02/2019 19:02:45,304,18/02/2019 19:03:01,18/02/2019 19:05:38,157,,
