Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,02/04/2019,-,-,-,-,-,,-,-,-,-,-,,,
England  UK,0002,Southampton,02/04/2019,02/04/2019 19:20:45,-,-,02/04/2019 19:42:44,-,,02/04/2019 19:48:10,02/04/2019 19:50:58,168,-,-,,,
England  UK,0003,Isle of Wight,02/04/2019,02/04/2019 18:20:55,02/04/2019 20:20:49,7194,02/04/2019 19:00:34,02/04/2019 19:22:52,,02/04/2019 19:26:47,02/04/2019 19:31:46,299,02/04/2019 19:31:56,02/04/2019 19:33:24,88,,
Wales  UK,0005,Port Talbot,02/04/2019,02/04/2019 17:48:52,02/04/2019 18:45:24,3392,02/04/2019 18:23:01,02/04/2019 18:31:05,,02/04/2019 18:34:40,02/04/2019 18:39:04,264,02/04/2019 18:39:18,02/04/2019 18:40:41,83,,
England  UK,0008,Peterborough,02/04/2019,02/04/2019 18:54:42,02/04/2019 22:28:39,12837,02/04/2019 19:18:04,02/04/2019 20:12:36,,02/04/2019 20:25:22,02/04/2019 20:30:21,299,02/04/2019 20:30:40,02/04/2019 20:32:21,101,,
England  UK,0010,Exeter,02/04/2019,02/04/2019 19:04:20,-,-,02/04/2019 19:50:08,-,,02/04/2019 21:12:39,02/04/2019 21:18:17,338,-,-,,,
England  UK,0011,St Austell,02/04/2019,02/04/2019 17:42:43,02/04/2019 18:47:57,3914,02/04/2019 18:04:08,02/04/2019 18:28:46,,02/04/2019 18:35:22,02/04/2019 18:40:14,292,02/04/2019 18:40:33,02/04/2019 18:42:23,110,,
England  UK,0012,Exmouth,02/04/2019,02/04/2019 18:09:47,02/04/2019 19:45:18,5731,02/04/2019 18:46:33,02/04/2019 19:14:21,,02/04/2019 19:18:06,02/04/2019 19:22:50,284,02/04/2019 19:23:10,02/04/2019 19:24:39,89,,
Wales  UK,0014,Swansea,02/04/2019,02/04/2019 18:30:36,02/04/2019 19:49:33,4737,02/04/2019 18:52:51,02/04/2019 19:28:55,,02/04/2019 19:36:31,02/04/2019 19:41:24,293,02/04/2019 19:41:44,02/04/2019 19:43:11,87,,
England  UK,0015,Bath,02/04/2019,02/04/2019 18:00:32,02/04/2019 20:36:57,9385,02/04/2019 18:46:09,02/04/2019 19:28:13,,02/04/2019 19:35:48,02/04/2019 19:40:48,300,02/04/2019 19:41:04,02/04/2019 19:42:49,105,,
England  UK,0016,Epsom,02/04/2019,02/04/2019 20:28:12,02/04/2019 21:58:19,5407,02/04/2019 20:59:49,02/04/2019 21:22:44,,02/04/2019 21:27:20,02/04/2019 21:31:58,278,02/04/2019 21:32:10,02/04/2019 21:33:49,99,,
England  UK,0021,Romford,02/04/2019,02/04/2019 19:25:00,-,-,02/04/2019 20:03:59,-,,02/04/2019 20:08:35,02/04/2019 20:11:33,178,-,-,,,
England  UK,0022,Salisbury,02/04/2019,02/04/2019 17:41:37,02/04/2019 19:09:36,5279,02/04/2019 18:04:44,02/04/2019 18:46:43,,02/04/2019 18:51:58,02/04/2019 18:57:24,326,-,-,,,
England  UK,0023,Derby,02/04/2019,02/04/2019 18:50:35,02/04/2019 20:59:37,7742,02/04/2019 19:14:48,02/04/2019 19:59:23,,02/04/2019 20:12:59,02/04/2019 20:18:07,308,-,-,,,
England  UK,0024,Shrewsbury,02/04/2019,02/04/2019 17:51:17,02/04/2019 19:07:46,4589,02/04/2019 18:24:24,02/04/2019 18:49:27,,02/04/2019 18:55:02,02/04/2019 18:59:50,288,02/04/2019 19:00:04,02/04/2019 19:01:40,96,,
England  UK,0025,Ilkeston,02/04/2019,02/04/2019 19:14:26,02/04/2019 21:13:14,7128,02/04/2019 19:36:33,02/04/2019 20:10:33,,02/04/2019 20:16:18,02/04/2019 20:20:03,225,02/04/2019 20:20:21,02/04/2019 20:21:47,86,,
England  UK,0026,Dunstable,02/04/2019,02/04/2019 17:49:07,02/04/2019 19:09:59,4852,02/04/2019 18:23:54,02/04/2019 18:49:56,,02/04/2019 18:55:22,02/04/2019 19:00:00,278,02/04/2019 19:00:11,02/04/2019 19:01:41,90,,
England  UK,0028,Stourbridge,02/04/2019,02/04/2019 19:16:00,-,-,02/04/2019 19:50:08,-,,02/04/2019 20:10:30,02/04/2019 20:15:10,280,-,-,,,
England  UK,0029,Brighton,02/04/2019,02/04/2019 19:26:18,02/04/2019 21:31:41,7523,02/04/2019 20:11:05,02/04/2019 20:39:27,,02/04/2019 20:46:13,02/04/2019 20:51:02,289,02/04/2019 20:51:17,02/04/2019 20:52:56,99,,
England  UK,0031,Arnold,02/04/2019,02/04/2019 18:39:40,02/04/2019 20:54:20,8080,02/04/2019 19:21:23,02/04/2019 19:53:29,,02/04/2019 19:59:24,02/04/2019 20:04:19,295,02/04/2019 20:04:35,02/04/2019 20:06:04,89,,
England  UK,0032,Boston,02/04/2019,02/04/2019 17:41:49,02/04/2019 18:43:00,3671,02/04/2019 18:25:56,02/04/2019 18:36:14,,02/04/2019 18:37:50,02/04/2019 18:39:35,105,02/04/2019 18:39:47,02/04/2019 18:40:10,23,,
England  UK,0033,Cambridge,02/04/2019,02/04/2019 18:15:23,-,-,02/04/2019 18:45:36,-,,02/04/2019 19:18:06,02/04/2019 19:21:45,219,-,-,,,
England  UK,0034,Chelmsford,02/04/2019,02/04/2019 18:37:59,02/04/2019 21:01:19,8600,02/04/2019 18:59:58,02/04/2019 19:30:51,,02/04/2019 19:37:07,02/04/2019 19:42:02,295,02/04/2019 19:42:17,02/04/2019 19:45:07,170,,
England  UK,0035,Colchester,02/04/2019,02/04/2019 21:50:33,-,-,02/04/2019 21:56:06,-,,03/04/2019 00:02:54,03/04/2019 00:06:32,218,-,-,,,
England  UK,0036,Ipswich,02/04/2019,02/04/2019 18:15:26,02/04/2019 20:08:35,6789,02/04/2019 18:38:32,02/04/2019 19:28:17,,02/04/2019 19:37:32,02/04/2019 19:42:26,294,02/04/2019 19:42:49,02/04/2019 19:44:27,98,,
England  UK,0037,Kettering,02/04/2019,02/04/2019 17:48:56,02/04/2019 19:05:57,4621,02/04/2019 18:24:01,02/04/2019 18:49:53,,02/04/2019 18:54:58,02/04/2019 18:59:47,289,-,-,,,
England  UK,0039,Leicester,02/04/2019,02/04/2019 20:28:24,02/04/2019 23:48:14,11990,02/04/2019 20:51:30,02/04/2019 21:47:22,,02/04/2019 21:58:28,02/04/2019 22:04:12,344,02/04/2019 22:04:36,02/04/2019 22:06:18,102,,
England  UK,0040,Nottingham,02/04/2019,02/04/2019 19:04:17,02/04/2019 22:14:55,11438,02/04/2019 19:52:04,02/04/2019 20:40:12,,02/04/2019 20:50:08,02/04/2019 20:55:18,310,-,-,,,
England  UK,0041,Southend,02/04/2019,02/04/2019 18:40:54,02/04/2019 20:45:14,7460,02/04/2019 19:02:52,02/04/2019 19:39:51,,02/04/2019 19:46:26,02/04/2019 19:50:10,224,02/04/2019 19:50:27,02/04/2019 19:52:06,99,,
England  UK,0045,Bromsgrove,02/04/2019,02/04/2019 17:49:03,02/04/2019 18:50:22,3679,02/04/2019 18:19:06,02/04/2019 18:36:03,,02/04/2019 18:38:59,02/04/2019 18:43:48,289,02/04/2019 18:43:56,02/04/2019 18:45:22,86,,
England  UK,0046,Cannock,02/04/2019,02/04/2019 17:43:23,02/04/2019 19:02:06,4723,02/04/2019 18:18:49,02/04/2019 18:42:41,,02/04/2019 18:47:27,02/04/2019 18:52:26,299,02/04/2019 18:52:36,02/04/2019 18:54:19,103,,
England  UK,0047,Cheltenham,02/04/2019,02/04/2019 18:19:32,02/04/2019 20:01:56,6144,02/04/2019 18:41:39,02/04/2019 19:07:58,,02/04/2019 19:13:04,02/04/2019 19:16:47,223,02/04/2019 19:17:03,02/04/2019 19:18:31,88,,
England  UK,0048,Congleton,02/04/2019,02/04/2019 18:30:35,02/04/2019 19:40:54,4219,02/04/2019 19:07:37,02/04/2019 19:25:48,,02/04/2019 19:29:23,02/04/2019 19:33:06,223,02/04/2019 19:33:20,02/04/2019 19:34:44,84,,
