Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,20/01/2019,20/01/2019 19:07:57,20/01/2019 20:57:38,6581,20/01/2019 19:52:54,20/01/2019 20:19:18,,20/01/2019 20:24:54,20/01/2019 20:28:33,219,20/01/2019 20:29:32,20/01/2019 20:31:06,94,,
England  UK,0002,Southampton,20/01/2019,20/01/2019 17:41:15,20/01/2019 20:31:28,10213,20/01/2019 18:03:08,20/01/2019 19:36:34,,20/01/2019 19:54:30,20/01/2019 20:02:35,485,-,-,,,
England  UK,0003,Isle of Wight,20/01/2019,-,-,-,-,-,,21/01/2019 08:00:29,-,-,-,-,,,
Wales  UK,0005,Port Talbot,20/01/2019,-,-,-,-,-,,21/01/2019 08:00:57,21/01/2019 08:03:21,144,-,-,,,
England  UK,0008,Peterborough,20/01/2019,20/01/2019 17:36:09,-,-,20/01/2019 17:59:45,-,,20/01/2019 18:11:20,20/01/2019 18:15:04,224,-,-,,,
England  UK,0010,Exeter,20/01/2019,-,-,-,-,-,,21/01/2019 08:01:26,21/01/2019 08:05:15,229,-,-,,,
England  UK,0011,St Austell,20/01/2019,20/01/2019 16:18:27,20/01/2019 17:21:58,3811,20/01/2019 16:39:39,20/01/2019 17:03:32,,20/01/2019 17:09:58,20/01/2019 17:14:31,273,20/01/2019 17:14:43,20/01/2019 17:16:35,112,,
England  UK,0012,Exmouth,20/01/2019,20/01/2019 16:42:25,20/01/2019 18:10:15,5270,20/01/2019 17:18:51,20/01/2019 17:41:47,,20/01/2019 17:45:22,20/01/2019 17:49:42,260,20/01/2019 17:50:05,20/01/2019 17:51:35,90,,
Wales  UK,0014,Swansea,20/01/2019,20/01/2019 16:21:51,-,-,20/01/2019 16:44:29,-,,20/01/2019 16:51:44,20/01/2019 16:56:32,288,-,-,,,
England  UK,0015,Bath,20/01/2019,20/01/2019 18:00:30,-,-,20/01/2019 18:46:36,-,,20/01/2019 18:52:01,20/01/2019 18:56:50,289,-,-,,,
England  UK,0016,Epsom,20/01/2019,20/01/2019 17:15:53,20/01/2019 18:39:58,5045,20/01/2019 17:47:13,20/01/2019 18:06:46,,20/01/2019 18:11:02,20/01/2019 18:15:30,268,20/01/2019 18:16:15,20/01/2019 18:17:47,92,,
England  UK,0021,Romford,20/01/2019,20/01/2019 17:50:45,-,-,20/01/2019 18:31:04,-,,20/01/2019 18:35:19,20/01/2019 18:36:58,99,-,-,,,
