Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,20/05/2019,20/05/2019 19:35:34,20/05/2019 21:36:30,7256,20/05/2019 20:21:38,20/05/2019 20:50:44,,20/05/2019 22:42:59,20/05/2019 22:46:21,202,20/05/2019 21:03:47,20/05/2019 21:09:39,352,,
England  UK,0002,Southampton,20/05/2019,20/05/2019 19:16:21,20/05/2019 20:25:21,4140,20/05/2019 19:38:30,20/05/2019 20:06:07,,20/05/2019 20:12:32,20/05/2019 20:15:17,165,20/05/2019 20:15:34,20/05/2019 20:17:38,124,,
England  UK,0003,Isle of Wight,20/05/2019,20/05/2019 18:23:39,20/05/2019 20:29:35,7556,20/05/2019 19:03:23,20/05/2019 19:25:58,,20/05/2019 19:30:04,20/05/2019 19:35:28,324,20/05/2019 19:35:43,20/05/2019 19:41:52,369,,
Wales  UK,0005,Port Talbot,20/05/2019,20/05/2019 17:39:05,20/05/2019 18:43:34,3869,20/05/2019 18:13:30,20/05/2019 18:25:07,,20/05/2019 18:28:33,20/05/2019 18:33:12,279,20/05/2019 18:33:43,20/05/2019 18:38:24,281,,
England  UK,0008,Peterborough,20/05/2019,20/05/2019 18:44:28,-,-,20/05/2019 19:08:47,-,,20/05/2019 19:20:53,20/05/2019 19:26:07,314,-,-,,,
England  UK,0010,Exeter,20/05/2019,20/05/2019 19:04:59,20/05/2019 22:31:03,12364,20/05/2019 19:51:00,20/05/2019 21:08:29,,20/05/2019 21:21:45,20/05/2019 21:28:35,410,20/05/2019 21:31:42,20/05/2019 21:38:52,430,,
England  UK,0011,St Austell,20/05/2019,20/05/2019 17:47:44,20/05/2019 18:55:50,4086,20/05/2019 18:09:00,20/05/2019 18:34:07,,20/05/2019 18:40:42,20/05/2019 18:45:11,269,20/05/2019 18:45:25,20/05/2019 18:50:33,308,,
England  UK,0012,Exmouth,20/05/2019,20/05/2019 18:13:39,20/05/2019 19:53:31,5992,20/05/2019 18:50:36,20/05/2019 19:18:53,,20/05/2019 19:22:38,20/05/2019 19:27:17,279,20/05/2019 19:27:40,20/05/2019 19:32:44,304,,
Wales  UK,0014,Swansea,20/05/2019,20/05/2019 18:28:13,20/05/2019 19:53:32,5119,20/05/2019 18:50:30,20/05/2019 19:27:07,,20/05/2019 19:35:03,20/05/2019 19:40:06,303,20/05/2019 19:42:07,20/05/2019 19:48:14,367,,
England  UK,0015,Bath,20/05/2019,20/05/2019 18:09:13,20/05/2019 20:52:07,9774,20/05/2019 18:54:34,20/05/2019 19:36:56,,20/05/2019 19:44:31,20/05/2019 19:49:51,320,20/05/2019 19:52:01,20/05/2019 19:57:16,315,,
England  UK,0016,Epsom,20/05/2019,20/05/2019 17:51:38,20/05/2019 19:32:24,6046,20/05/2019 18:24:21,20/05/2019 18:51:37,,20/05/2019 18:56:03,20/05/2019 19:00:53,290,20/05/2019 19:01:35,20/05/2019 19:06:40,305,,
England  UK,0021,Romford,20/05/2019,20/05/2019 18:45:13,20/05/2019 21:55:45,11432,20/05/2019 19:26:37,20/05/2019 20:31:16,,20/05/2019 20:36:31,20/05/2019 20:39:24,173,20/05/2019 20:40:25,20/05/2019 20:42:16,111,,
England  UK,0022,Salisbury,20/05/2019,20/05/2019 17:46:08,20/05/2019 19:22:10,5762,20/05/2019 18:10:15,20/05/2019 18:53:09,,20/05/2019 18:58:24,20/05/2019 19:04:19,355,20/05/2019 19:04:34,20/05/2019 19:09:53,319,,
England  UK,0023,Derby,20/05/2019,20/05/2019 18:55:25,-,-,20/05/2019 19:19:31,-,,20/05/2019 19:33:17,20/05/2019 19:38:34,317,-,-,,,
England  UK,0024,Shrewsbury,20/05/2019,20/05/2019 18:34:27,20/05/2019 19:56:36,4929,20/05/2019 19:08:10,20/05/2019 19:33:42,,20/05/2019 19:39:07,20/05/2019 19:43:56,289,20/05/2019 19:44:43,20/05/2019 19:50:09,326,,
England  UK,0025,Ilkeston,20/05/2019,20/05/2019 18:06:41,20/05/2019 20:11:49,7508,20/05/2019 18:28:47,20/05/2019 19:02:51,,20/05/2019 19:08:06,20/05/2019 19:12:35,269,20/05/2019 19:14:16,20/05/2019 19:19:34,318,,
