Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,10/12/2018,10/12/2018 20:17:04,10/12/2018 22:22:26,7522,10/12/2018 21:04:03,10/12/2018 21:29:54,,10/12/2018 21:35:19,10/12/2018 21:38:58,219,10/12/2018 21:39:55,10/12/2018 21:56:11,976,,
England  UK,0002,Southampton,10/12/2018,10/12/2018 19:40:18,10/12/2018 22:59:38,11960,10/12/2018 20:02:14,10/12/2018 21:35:44,,10/12/2018 21:54:51,10/12/2018 22:04:41,590,10/12/2018 22:04:54,10/12/2018 22:28:01,1387,,
England  UK,0003,Isle of Wight,10/12/2018,10/12/2018 18:16:53,10/12/2018 20:27:45,7852,10/12/2018 18:56:10,10/12/2018 19:17:26,,10/12/2018 19:21:22,10/12/2018 19:25:00,218,10/12/2018 19:25:08,10/12/2018 19:41:04,956,,
Wales  UK,0005,Port Talbot,10/12/2018,10/12/2018 17:38:25,10/12/2018 18:47:55,4170,10/12/2018 18:12:21,10/12/2018 18:19:54,,10/12/2018 18:23:10,10/12/2018 18:27:19,249,10/12/2018 18:27:40,10/12/2018 18:43:20,940,,
England  UK,0008,Peterborough,10/12/2018,10/12/2018 18:50:24,10/12/2018 22:35:30,13506,10/12/2018 19:13:55,10/12/2018 20:07:04,,10/12/2018 20:18:50,10/12/2018 20:23:58,308,10/12/2018 20:26:12,10/12/2018 20:42:12,960,,
England  UK,0010,Exeter,10/12/2018,10/12/2018 18:56:31,10/12/2018 22:23:06,12395,10/12/2018 19:42:12,10/12/2018 20:56:28,,10/12/2018 21:08:44,10/12/2018 21:13:48,304,10/12/2018 21:16:10,10/12/2018 21:32:40,990,,
England  UK,0011,St Austell,10/12/2018,10/12/2018 17:42:54,10/12/2018 19:03:24,4830,10/12/2018 18:04:09,10/12/2018 18:28:17,,10/12/2018 18:34:42,10/12/2018 18:39:31,289,10/12/2018 18:39:41,10/12/2018 18:57:10,1049,,
England  UK,0012,Exmouth,10/12/2018,10/12/2018 18:20:33,10/12/2018 20:03:15,6162,10/12/2018 18:57:20,10/12/2018 19:20:37,,10/12/2018 19:24:12,10/12/2018 19:28:31,259,10/12/2018 19:28:48,10/12/2018 19:44:36,948,,
Wales  UK,0014,Swansea,10/12/2018,10/12/2018 18:27:38,10/12/2018 20:05:40,5882,10/12/2018 18:51:01,10/12/2018 19:26:08,,10/12/2018 19:33:23,10/12/2018 19:38:24,301,10/12/2018 19:42:58,10/12/2018 19:59:00,962,,
England  UK,0015,Bath,10/12/2018,10/12/2018 18:14:58,10/12/2018 21:06:18,10280,10/12/2018 19:00:43,10/12/2018 19:40:57,,10/12/2018 19:48:02,10/12/2018 19:52:46,284,10/12/2018 19:54:46,10/12/2018 20:11:21,995,,
England  UK,0016,Epsom,10/12/2018,10/12/2018 17:47:43,10/12/2018 19:33:26,6343,10/12/2018 18:19:33,10/12/2018 18:42:32,,10/12/2018 18:47:07,10/12/2018 18:51:56,289,10/12/2018 18:52:34,10/12/2018 19:08:41,967,,
England  UK,0021,Romford,10/12/2018,10/12/2018 18:52:13,10/12/2018 21:47:00,10487,10/12/2018 19:31:00,10/12/2018 20:27:26,,10/12/2018 20:32:01,10/12/2018 20:34:52,171,10/12/2018 20:35:48,10/12/2018 20:49:25,817,,
England  UK,0022,Salisbury,10/12/2018,10/12/2018 17:54:23,10/12/2018 19:36:41,6138,10/12/2018 18:18:28,10/12/2018 18:59:20,,10/12/2018 19:04:25,10/12/2018 19:08:34,249,10/12/2018 19:08:43,10/12/2018 19:25:14,991,,
England  UK,0023,Derby,10/12/2018,10/12/2018 18:47:18,10/12/2018 21:11:01,8623,10/12/2018 19:11:35,10/12/2018 19:54:37,,10/12/2018 20:07:32,10/12/2018 20:12:28,296,10/12/2018 20:18:51,10/12/2018 20:33:06,855,,
England  UK,0024,Shrewsbury,10/12/2018,10/12/2018 17:52:19,10/12/2018 19:28:44,5785,10/12/2018 18:25:54,10/12/2018 18:49:59,,10/12/2018 18:55:54,10/12/2018 19:02:04,370,10/12/2018 19:02:51,10/12/2018 19:21:14,1103,,
England  UK,0025,Ilkeston,10/12/2018,10/12/2018 17:50:11,10/12/2018 20:05:47,8136,10/12/2018 18:12:20,10/12/2018 18:46:52,,10/12/2018 18:52:08,10/12/2018 18:56:31,263,10/12/2018 18:57:18,10/12/2018 19:13:27,969,,
England  UK,0026,Dunstable,10/12/2018,10/12/2018 17:52:01,10/12/2018 19:25:05,5584,10/12/2018 18:26:15,10/12/2018 18:51:18,,10/12/2018 18:56:23,10/12/2018 19:00:49,266,10/12/2018 19:01:01,10/12/2018 19:17:17,976,,
England  UK,0028,Stourbridge,10/12/2018,10/12/2018 18:12:24,10/12/2018 19:33:45,4881,10/12/2018 18:46:45,10/12/2018 19:01:56,,10/12/2018 19:06:51,10/12/2018 19:11:20,269,10/12/2018 19:11:52,10/12/2018 19:27:47,955,,
England  UK,0029,Brighton,10/12/2018,10/12/2018 19:19:43,10/12/2018 21:44:57,8714,10/12/2018 20:04:39,10/12/2018 20:36:15,,10/12/2018 20:42:50,10/12/2018 20:47:50,300,10/12/2018 20:48:20,10/12/2018 21:02:50,870,,
England  UK,0031,Arnold,10/12/2018,10/12/2018 17:42:29,10/12/2018 20:09:26,8817,10/12/2018 18:24:08,10/12/2018 18:55:31,,10/12/2018 19:00:56,10/12/2018 19:05:45,289,10/12/2018 19:05:55,10/12/2018 19:21:46,951,,
