Country,Store,Name,Date,EOD Start,EOD Finish,EOD Duration(s), Backup Start, Backup End, Replication Window, Replication Start, Replication End, Replication Duration(s), Deployment Start, Deployment End, Dep Duration, ST File Size, PL File Size
England  UK,0001,Basingstoke,29/01/2019,29/01/2019 20:46:02,29/01/2019 22:37:09,6667,29/01/2019 21:33:14,29/01/2019 21:59:47,,29/01/2019 22:05:22,29/01/2019 22:10:20,298,-,-,,,
England  UK,0002,Southampton,29/01/2019,29/01/2019 19:32:55,29/01/2019 22:23:01,10206,29/01/2019 19:54:50,29/01/2019 21:27:53,,29/01/2019 21:45:29,29/01/2019 21:54:24,535,-,-,,,
England  UK,0003,Isle of Wight,29/01/2019,29/01/2019 18:09:53,29/01/2019 20:06:36,7003,29/01/2019 18:49:42,29/01/2019 19:11:15,,29/01/2019 19:15:10,29/01/2019 19:19:54,284,-,-,,,
Wales  UK,0005,Port Talbot,29/01/2019,29/01/2019 17:39:34,29/01/2019 18:37:22,3468,29/01/2019 18:13:28,29/01/2019 18:24:28,,29/01/2019 18:27:43,29/01/2019 18:32:02,259,-,-,,,
England  UK,0008,Peterborough,29/01/2019,29/01/2019 18:42:51,29/01/2019 22:02:27,11976,29/01/2019 19:06:13,29/01/2019 19:57:06,,29/01/2019 20:08:51,29/01/2019 20:13:50,299,-,-,,,
England  UK,0010,Exeter,29/01/2019,29/01/2019 18:58:04,29/01/2019 22:02:03,11039,29/01/2019 19:44:01,29/01/2019 20:52:09,,29/01/2019 21:04:45,29/01/2019 21:10:56,371,29/01/2019 21:12:32,29/01/2019 21:13:07,35,,
England  UK,0011,St Austell,29/01/2019,29/01/2019 17:43:23,29/01/2019 18:44:59,3696,29/01/2019 18:04:37,29/01/2019 18:28:38,,29/01/2019 18:34:53,29/01/2019 18:39:37,284,-,-,,,
England  UK,0012,Exmouth,29/01/2019,29/01/2019 18:10:26,29/01/2019 19:37:33,5227,29/01/2019 18:47:19,29/01/2019 19:10:22,,29/01/2019 19:13:57,29/01/2019 19:18:57,300,29/01/2019 19:19:09,29/01/2019 19:19:17,8,,
Wales  UK,0014,Swansea,29/01/2019,29/01/2019 18:24:17,29/01/2019 19:38:49,4472,29/01/2019 18:46:34,29/01/2019 19:20:54,,29/01/2019 19:28:09,29/01/2019 19:33:09,300,-,-,,,
England  UK,0015,Bath,29/01/2019,29/01/2019 18:07:39,29/01/2019 20:39:13,9094,29/01/2019 18:53:05,29/01/2019 19:33:43,,29/01/2019 19:40:59,29/01/2019 19:46:03,304,-,-,,,
England  UK,0016,Epsom,29/01/2019,29/01/2019 19:47:22,29/01/2019 21:15:14,5272,29/01/2019 20:19:08,29/01/2019 20:41:26,,29/01/2019 20:45:41,29/01/2019 20:50:26,285,29/01/2019 20:50:50,29/01/2019 20:51:03,13,,
England  UK,0021,Romford,29/01/2019,29/01/2019 18:52:09,29/01/2019 21:48:52,10603,29/01/2019 19:31:04,29/01/2019 20:29:06,,29/01/2019 20:33:41,29/01/2019 20:36:54,193,-,-,,,
England  UK,0022,Salisbury,29/01/2019,29/01/2019 17:47:40,29/01/2019 19:14:40,5220,29/01/2019 18:10:46,29/01/2019 18:52:12,,29/01/2019 18:57:28,29/01/2019 19:02:55,327,-,-,,,
England  UK,0023,Derby,29/01/2019,29/01/2019 18:49:04,29/01/2019 20:53:43,7479,29/01/2019 19:14:01,29/01/2019 19:56:01,,29/01/2019 20:09:06,29/01/2019 20:14:26,320,29/01/2019 20:16:00,29/01/2019 20:16:30,30,,
